 	voglio	che	Maria	viene	domani	</S>
t	0.570985622883	0.064799278283	0.0404555007408	0.0786509058956	0.0931489860215	0.151959698486
è	0.603036660548	0.093461123981	0.0975576131496	0.0535373113863	0.101428610426	0.0509786799657
l	0.550970229296	0.11237175468	0.124771865008	0.0652379254921	0.0714434470574	0.0752047904085
o	0.409806189545	0.27623234896	0.108591288318	0.0695511764157	0.0523659094986	0.0834531057739
e	0.236272484715	0.31149586392	0.218155671906	0.0629578174186	0.140925943215	0.0301922299793
M	0.100211882188	0.215342105231	0.234478003841	0.153823768477	0.272074807924	0.024069423852
a	0.122314233346	0.252654785682	0.187803047419	0.217788278546	0.195617369847	0.0238222703633
r	0.209797269469	0.211618172967	0.20431839876	0.170944217502	0.151944952441	0.0513769789858
ì	0.234779460032	0.205431262976	0.198502286366	0.088758399388	0.212821622757	0.0597069526924
a	0.167469723696	0.237504384486	0.198606880049	0.0734383931767	0.275270394101	0.0477102305006
n	0.100565768269	0.259060200888	0.15342508947	0.0968578335256	0.303701913034	0.0863892123122
a	0.0862016175741	0.265042222275	0.170118776937	0.153216361509	0.23600000226	0.0894210203141
r	0.0726846065025	0.229101816394	0.149345587279	0.229683430836	0.260210249535	0.0589743156394
t	0.0983299313008	0.207267444467	0.0936027865997	0.225625961479	0.233316667385	0.141857223457
i	0.0963613677858	0.174365252553	0.118075003813	0.171510919806	0.223563062777	0.216124398403
à	0.0351434616643	0.10098442074	0.111060746298	0.0979408958353	0.513739774901	0.141130701563
v	0.0124402311763	0.0366250535313	0.0672600096467	0.0749339402784	0.701807696967	0.106933080448
v	0.11990824853	0.0381463345171	0.0471286701629	0.0790843288395	0.513256040189	0.202476389647
r	0.236755956183	0.095712607105	0.0263687578283	0.0702599505565	0.273967298236	0.296935447853
i	0.163611069513	0.0958280993093	0.0132207060377	0.0627109397355	0.156752285545	0.507876915455
</S>	0.0862503686255	0.0538604963671	0.0127394049703	0.0451121778778	0.106336250513	0.695701303727
