 	vestita	la	figlia	l	avevo	portata	alla	chiesa	</S>
n	0.661463481015	0.149901015263	0.0170684639035	0.0153965488366	0.00722240745713	0.00278331166819	0.0018012485444	0.030504647086	0.11385885631
d	0.598834160338	0.229277377354	0.0201248631112	0.0228349284018	0.0105811059448	0.0243555511369	0.0167358928798	0.0245557480916	0.0527003698662
ì	0.513588451946	0.340237251518	0.0264604420025	0.0224898836957	0.013873091669	0.0337862926387	0.021867443768	0.00896447607217	0.0187326545031
s	0.371041523255	0.459563144173	0.0413174996536	0.0168310688959	0.0583071564371	0.0237282627622	0.012141358459	0.00348531237643	0.0135846805214
o	0.223880275036	0.554792553058	0.0857791647152	0.0165428185067	0.0802864488305	0.0180350206969	0.00818348889921	0.00143321847789	0.0110670352695
n	0.110521354337	0.611968917953	0.0847739730384	0.0126544691693	0.0903899243176	0.0290692475677	0.0426759031334	0.00856424473215	0.0093819802643
t	0.0556357364602	0.596413605584	0.0834855589261	0.0354432540281	0.0944545955513	0.0539819983197	0.0585786501774	0.0109825603604	0.0110240590804
a	0.0440086504529	0.531783636795	0.192676009702	0.0812852309254	0.0617330272537	0.0531321279328	0.024841759904	0.00370600574785	0.00683355325852
t	0.0280816870693	0.421398943332	0.210355063194	0.135703775442	0.0616777219204	0.0579900648179	0.0473232705272	0.0215015986362	0.0159678745055
i	0.024987799509	0.317681758044	0.242604372391	0.203401497127	0.0493621369969	0.0620278171531	0.0543222673149	0.0274393629154	0.0181730010396
k	0.0243782783562	0.204887200548	0.31759513363	0.235766791802	0.0610962645877	0.0533565104935	0.0506097830731	0.0297231084168	0.0225869428947
i	0.0156499142056	0.130433015656	0.319755977377	0.282843930847	0.0739534201426	0.0724346943095	0.0502709402322	0.0305129737763	0.0241451387558
a	0.0130844000719	0.096880232188	0.267398493199	0.343969387682	0.123501116374	0.106109518388	0.0284328725273	0.0110044383316	0.00961952122919
t	0.0117813041581	0.0732660261987	0.167926710293	0.324379766694	0.209984850125	0.091530357156	0.0349148012911	0.029158280865	0.0570578711908
è	0.013015551493	0.0599200357636	0.125706828004	0.263646561565	0.310836301708	0.090120682912	0.0283015346717	0.0358037652741	0.0726487235415
r	0.027284853967	0.0754741266612	0.133655964755	0.248972816122	0.325769087036	0.105290400557	0.0253048728992	0.0162585674989	0.0419893220457
a	0.027436734397	0.0657520837441	0.131237710973	0.299839833667	0.284011977145	0.118875128206	0.0328452374451	0.00905171044929	0.0309496004498
t	0.0122915118791	0.0322116306491	0.0767652860834	0.262713566116	0.365547970648	0.127714688962	0.0696426205764	0.0319671424275	0.0211455968065
i	0.00696018100294	0.0188323721753	0.0496977609329	0.214032790185	0.430980479816	0.131529121827	0.0891723673728	0.0407632582782	0.0180316708716
n	0.00350603479796	0.00828740314534	0.0366667716708	0.165776771822	0.472870984405	0.123138208336	0.0762401242956	0.0670763270148	0.0464373677119
ì	0.00195399112977	0.0037082200099	0.0161276847447	0.110647998327	0.462192267602	0.182987002559	0.0717930662519	0.0909197719049	0.0596699941796
c	0.0182158041047	0.0666306855374	0.0132866435054	0.103662176012	0.399045014029	0.205362883452	0.0510960426478	0.116919775754	0.0257809840061
h	0.0412500237683	0.109133917556	0.0372387009171	0.111322851453	0.309281275951	0.192464581483	0.0712384117798	0.112643691653	0.0154265514954
a	0.0327304285353	0.0588303452578	0.0447688416233	0.114498792442	0.180149850664	0.249272128228	0.22491372548	0.0606027218207	0.0342331558251
p	0.0138590016198	0.0226934119595	0.0193945114551	0.0617471640573	0.164630656337	0.238195989736	0.298241967427	0.143856529214	0.0373807801884
à	0.00661712336398	0.0103397745168	0.0078785848637	0.0298790943178	0.187054457128	0.306995264239	0.213165577676	0.209568091545	0.0285020631961
r	0.0319401129546	0.0085790221967	0.0105635124382	0.0262236862633	0.167740494643	0.323958336146	0.196945603025	0.198833067408	0.0352161736654
o	0.0401571849555	0.00836089395604	0.0127506054631	0.026694872624	0.15902323152	0.209534829915	0.269936693875	0.193875294243	0.0796663721218
n	0.0147732303177	0.00365774372315	0.00688810110654	0.0174231259061	0.133866752023	0.121854395625	0.322154500292	0.271976792054	0.107405341247
t	0.00878194567065	0.00246452862138	0.016031850594	0.0281017076759	0.087775899667	0.089766798775	0.397171741431	0.278023163045	0.0918823594557
a	0.00558844721049	0.00191538223125	0.0187637424134	0.0300750636177	0.0523400046743	0.106242686865	0.446971235477	0.184758266282	0.153345167085
s	0.00249905819422	0.00166452957854	0.00660322961192	0.0113682330757	0.0518551275008	0.096743090415	0.391736745206	0.266536992444	0.170993003895
