 	venne	scritto	</S>
ì	0.86582725662	0.0137564098033	0.120416348722
r	0.760852256353	0.105634331893	0.13351342835
t	0.527906386551	0.281132857852	0.190960764983
e	0.472806368137	0.334887649495	0.192305979357
g	0.425467095499	0.377441244118	0.197091667548
r	0.322461908553	0.508410598126	0.169127495089
a	0.210588478484	0.522494082275	0.26691742447
m	0.117862529608	0.546293115592	0.335844341757
m	0.0833583292689	0.592722257064	0.323919394952
è	0.052094587431	0.503807831659	0.44409757575
n	0.147363800204	0.381660846124	0.470975357117
o	0.177272006318	0.272677038241	0.550050962239
</S>	0.0927775144749	0.222832880119	0.684389628119
