 	non	mangiare	la	sera	</S>
m	0.441855268056	0.208927885727	0.101185030959	0.0292591289867	0.218772690842
i	0.350157271152	0.355007403509	0.1873239757	0.028127303555	0.0793840485439
f	0.161455955981	0.424643207796	0.280837948449	0.0849488898113	0.0481140000405
a	0.087795890773	0.450613943225	0.314346353565	0.104228625362	0.043015200125
i	0.064534287437	0.411651404542	0.334408102922	0.126844027747	0.0625621863252
o	0.0320020637454	0.253579894714	0.377635606841	0.267086099449	0.0696963250427
v	0.0195248158275	0.168108656891	0.39243513908	0.374860166783	0.0450712170086
r	0.0117556376205	0.115684194617	0.346622499173	0.473392032494	0.0525456366562
à	0.0184833573308	0.158366088624	0.254667868271	0.488447091365	0.0800355802854
i	0.0221250862105	0.158642770562	0.170613838957	0.486224914588	0.162393378455
</S>	0.0167883933227	0.090098511284	0.133295907779	0.528180810794	0.231636370268
