 	il	dito	si	gonfiò	</S>
o	0.416006001607	0.217988028393	0.0289994114196	0.172600925485	0.164405641551
d	0.219986996734	0.337703959564	0.0741368278265	0.303010074297	0.0651621395138
à	0.121815034503	0.452636677861	0.0832629659155	0.311238695648	0.031046640426
t	0.166404301821	0.441966590372	0.0980647716985	0.268319334942	0.0252450170534
t	0.25308497208	0.395198304724	0.12357280366	0.18448178376	0.0436621223816
i	0.228871431708	0.438910878046	0.158266783687	0.130479706309	0.0434711769133
l	0.121171053721	0.375455696753	0.274016027996	0.203790921503	0.0255662927511
o	0.0566823677886	0.264034408098	0.434278188099	0.212554098234	0.032450931657
è	0.0295122515156	0.225124297155	0.438561356753	0.270636788678	0.0361652963097
p	0.0288981678393	0.220065848074	0.320963729038	0.393574380359	0.0364978749206
r	0.0814043476964	0.174783572598	0.284322909413	0.402899329988	0.0565898397169
i	0.0818232099194	0.111876378202	0.244606890871	0.334618327731	0.227075189282
m	0.0327090489342	0.0657560234169	0.259014972657	0.365383729244	0.277136223094
m	0.0455551702715	0.0745382036223	0.272246452546	0.427706944815	0.17995321665
è	0.0474204391461	0.0746885914084	0.189001753209	0.381060623072	0.307828578502
n	0.0706914612317	0.0858039715405	0.134227078403	0.374636070091	0.334641410121
o	0.0781881000633	0.0728065388773	0.098226732001	0.30203252843	0.448746099994
</S>	0.0403480523753	0.0400825414143	0.0668939763005	0.199278323815	0.653397113997
