 	che	non	li	aspettiamo	</S>
n	0.48442250239	0.171247109093	0.0584285792895	0.039286474355	0.246615307866
a	0.377017821463	0.316568151164	0.17528793743	0.0230212380098	0.108104826996
m	0.236998102628	0.347852400721	0.24954386101	0.101469712688	0.0641359155892
i	0.157864384156	0.351494267907	0.300808023537	0.131766383478	0.0580669413329
t	0.145033091932	0.303555570836	0.316792127039	0.188454015535	0.0461652072288
u	0.129649171725	0.278500233812	0.35156851914	0.20635731646	0.033924774765
s	0.0651911572503	0.247069647657	0.372995766647	0.259753848475	0.0549895896171
m	0.173102889885	0.128763372339	0.221797743349	0.352429802725	0.123906193674
ì	0.214419130422	0.13258266776	0.215026212316	0.271739925028	0.166232052093
n	0.206058954261	0.126248976033	0.246512637905	0.286007836576	0.135171587184
o	0.199405168494	0.0886161644697	0.264946128435	0.298631335539	0.148401209968
m	0.108448802611	0.0906843202819	0.310080101878	0.2920297639	0.198757014889
e	0.0701372133545	0.067333847442	0.227100874893	0.30458173812	0.330846325476
</S>	0.0355617095545	0.036629324443	0.167070114346	0.29794714266	0.462791714338
