 	quando	venne	Giovanni	Anna	aveva	già	dormito	</S>
m	0.70817902896	0.0191411979037	0.00312225840342	0.00088285235274	0.000676527319579	0.000941600056873	0.0436848123246	0.223371756258
ò	0.742957961987	0.0377262191079	0.00321241732573	0.000472239446065	0.000325898091038	0.000476858144914	0.0366383146034	0.17819011048
t	0.727112645476	0.067754681274	0.0033961062347	0.00126307354003	0.00147913307057	0.00159476593047	0.0696598362188	0.127739758131
t	0.594489474032	0.231582071109	0.0228649557826	0.00546226569856	0.0028150694273	0.00592605433072	0.0815233488826	0.0553367626728
i	0.394560056004	0.48548960755	0.0352886690237	0.0176497233761	0.00434823323362	0.00614178288254	0.0292769387805	0.0272449894584
ì	0.281404996061	0.557701742029	0.0467566888945	0.0178156484979	0.00413962048498	0.00341264882052	0.0147134019897	0.074055255966
r	0.2593062162	0.454432071322	0.0517505457114	0.0495473174151	0.00972969012575	0.00964025017109	0.0728138676915	0.0927800416209
t	0.300430649655	0.379854598072	0.0871934938905	0.0680791867963	0.0129718919327	0.0114064655593	0.0878602490844	0.052203444008
e	0.232416331795	0.354864093589	0.257924950457	0.0686957154154	0.0185336049702	0.00522784060133	0.0299262896185	0.0324111394463
o	0.160638526924	0.224829965158	0.437391355483	0.0670570601185	0.0194187278752	0.00422429163248	0.0640868808253	0.0223531528167
G	0.208720108392	0.147225172881	0.387080396965	0.0469189411868	0.011743420916	0.018406930365	0.138338028359	0.0415669656093
i	0.169578334764	0.188803137094	0.404894384608	0.0519778923289	0.0122575599693	0.0227211658853	0.110088109002	0.0396794012559
o	0.134046640936	0.140651945986	0.472103131567	0.112456040488	0.0127065902504	0.0110065920415	0.0974917105963	0.0195373423141
v	0.18059476196	0.0636005224167	0.375534984226	0.180746894861	0.0135875759241	0.0194152750482	0.144861829275	0.0216581475414
à	0.132120010009	0.0772977678256	0.313018819729	0.243386285787	0.025675034008	0.0237597657754	0.104879571033	0.0798627413095
n	0.0489772599504	0.0711162205779	0.205681366863	0.331161060776	0.0388637470027	0.0347913381238	0.151829668717	0.117579337548
n	0.0497459526293	0.0533907269406	0.134348788148	0.367696078059	0.0519990118009	0.0570167995346	0.181812917456	0.103989730565
i	0.0512500145381	0.0527262542575	0.117143554783	0.39834662722	0.1268023972	0.0828656962915	0.085572644624	0.0852928141443
e	0.0384338415807	0.0277174024949	0.0635226095703	0.432212225513	0.2200658674	0.0768135003172	0.095415647337	0.0458189028768
A	0.0591981134953	0.0215939657006	0.0359060647161	0.405726725878	0.254619878467	0.0442879376684	0.118870513447	0.0597967939263
n	0.0503750393352	0.0259692876507	0.0264959138087	0.350353221359	0.242012061356	0.0638110766188	0.173072616776	0.0679107669814
n	0.0436482264065	0.0391911313035	0.0363924418869	0.27666597492	0.199933273785	0.16389209564	0.190203916699	0.0500729245245
a	0.0432899199716	0.0433597185447	0.043260973817	0.226298713947	0.177186167928	0.29010380588	0.117278744233	0.0592219602548
g	0.0425274763637	0.0258563811188	0.0243172528677	0.204293019162	0.180640627843	0.307405226427	0.165898629211	0.0490613998716
i	0.0444814818537	0.0216565729699	0.0298437228959	0.170090881394	0.178027938748	0.291252528609	0.221723511604	0.0429233636772
à	0.0505636060417	0.0159763151189	0.0300890712429	0.119539072865	0.207002678916	0.259930053936	0.272374409915	0.0445247936557
ì	0.106697186971	0.00633785915882	0.0137114822131	0.0804403658283	0.235381756077	0.222975921767	0.295917546818	0.0385378845152
c	0.218794333473	0.00597472574391	0.0191282178096	0.086351460488	0.173282571557	0.181621998363	0.274426068722	0.0404206291224
h	0.211193993954	0.0143059222887	0.0384826246658	0.0837325751279	0.115746622069	0.15127511704	0.32398645609	0.0612766968915
e	0.0852128851055	0.0138180033188	0.0334430596236	0.0568895258326	0.0897468918523	0.14370435328	0.385394583563	0.191790704997
p	0.0389391672238	0.00614521899529	0.0125279544921	0.0291727802042	0.0519219397041	0.124971645627	0.519242561188	0.217078734979
l	0.0899259220027	0.0112228269538	0.0218662065873	0.025831315592	0.0413560019254	0.151134236342	0.533117638196	0.125545860906
ò	0.09658973551	0.0118173900891	0.0244711653975	0.0227207862687	0.0302845724482	0.121778172914	0.514935568532	0.177402616235
s	0.0370561151609	0.00826479848873	0.0115065667454	0.010357125455	0.0174916197451	0.066470890438	0.666685508844	0.182167365345
o	0.02873343122	0.0211143165697	0.0146649359876	0.0137488668985	0.017435252781	0.0513352636127	0.609201374748	0.243766549715
n	0.0221986644902	0.0219586439794	0.0126574619883	0.0138460740287	0.013800738593	0.0464311981376	0.549083486049	0.320023729918
t	0.0135322105164	0.0121662542594	0.00883212529206	0.0130847064123	0.0148965028017	0.0879637059125	0.552351852016	0.297172646053
a	0.0101482820189	0.00851945185987	0.00784040080395	0.0135839962117	0.0156392448166	0.0998261201042	0.391070313339	0.453372192084
</S>	0.00581322172464	0.00460691047679	0.00448380465457	0.00879987456875	0.0105801432763	0.0691902581521	0.30062343167	0.595902348042
