 	Valeria	legge	il	giornale	</S>
e	0.627902774857	0.111450091623	0.122991872421	0.0183802540126	0.119274994232
V	0.552839809819	0.19944701643	0.193171095221	0.0117305954974	0.0428114773314
a	0.463731540461	0.277848026638	0.232816629398	0.00574702320228	0.019856780132
l	0.392531289008	0.331688270721	0.211352958896	0.0398954286093	0.0245320557456
è	0.412413730669	0.345510449207	0.152560900854	0.0629516676838	0.0265632558356
r	0.433520398467	0.366050488362	0.109737003458	0.0617292888253	0.0289628185637
i	0.331404524805	0.428178654721	0.145945139407	0.0655897360924	0.0288819388947
a	0.215950920868	0.414848752874	0.255183905579	0.0972669221781	0.0167494808602
m	0.128421278473	0.34319161493	0.266977467235	0.248323369173	0.0130862484401
e	0.122555182841	0.379219988255	0.231303422693	0.249864207141	0.017057188278
l	0.106757989785	0.413187218118	0.200897261991	0.23549270875	0.043664826284
e	0.0590191093097	0.380776211586	0.265710009463	0.24025325437	0.054241422908
t	0.0444739484161	0.292904050791	0.359984249282	0.23986829279	0.062769455856
à	0.0302144863819	0.275839854386	0.269012343838	0.32953390293	0.09539940649
o	0.0175675627758	0.302524452675	0.200706053531	0.381371724777	0.0978302006147
g	0.0134608250108	0.286344775385	0.192012672758	0.440721787546	0.0674599378716
i	0.0139240211482	0.322642354669	0.201623554568	0.367637924769	0.0941721466439
o	0.009913733189	0.277502476792	0.187331541531	0.36523486669	0.160017390081
r	0.0383961282453	0.161488637902	0.130021764823	0.501723779697	0.168369697027
n	0.113613408495	0.0723219198179	0.0819093707477	0.538678070266	0.193477243556
à	0.107102517159	0.0636732499199	0.0730566714596	0.456851588322	0.299315993599
l	0.0434314847095	0.131213189773	0.0943145684835	0.432296388261	0.298744374533
e	0.0223621068125	0.124262299721	0.0856572914579	0.33628833764	0.431429962844
</S>	0.0140479660302	0.0717740375351	0.0722834583941	0.20598194492	0.635912593422
