 	ha	che	sono	usciti	</S>
è	0.519328943728	0.198417665071	0.0812986308925	0.0788448113574	0.122109933822
n	0.385131114942	0.297463194624	0.135510836818	0.136548806536	0.0453460303874
a	0.252491004833	0.462939688875	0.154661918179	0.109404111353	0.0205032646174
g	0.164283527011	0.474895689185	0.137049502346	0.211661795199	0.0121094656242
u	0.13497875905	0.368875368622	0.221774971695	0.253355997344	0.0210148950714
ì	0.0576211694355	0.312547836807	0.382101764845	0.201176472248	0.0465527607438
k	0.0622165062438	0.196518883936	0.409287904495	0.269455847196	0.0625208609879
a	0.0700036564954	0.152410337789	0.417602849765	0.246844276245	0.113138888196
n	0.045797178974	0.100609246993	0.503762989188	0.198631213015	0.151199364465
e	0.0324369061619	0.0554038786193	0.401631794863	0.229300262405	0.281227144155
</S>	0.0189355905248	0.0339709412622	0.247455866232	0.275920934502	0.423716663877
