 	prima	di	andare	alla	scuola	</S>
p	0.696907375207	0.108375829968	0.03344907616	0.0285433619052	0.00822517114949	0.124499230361
r	0.623595869736	0.191694167289	0.105708494575	0.0262217904251	0.00325471855342	0.0495249924856
ì	0.408578596139	0.402569065296	0.149213755928	0.011512201555	0.00122437799251	0.0269020132173
m	0.253234377606	0.511600357765	0.151142702179	0.0332154356403	0.027185832834	0.0236213070121
a	0.182789377678	0.516032831922	0.194563567526	0.0489727277921	0.0358759791898	0.0217655489887
n	0.10957148091	0.477879451201	0.262418138309	0.095774347374	0.0407755640532	0.0135810374487
a	0.065736883195	0.381889160894	0.380876415903	0.117752174618	0.0427533438576	0.010992014205
p	0.0424058896679	0.281434528818	0.463922999234	0.104020863166	0.0881410331613	0.0200746712492
à	0.0194141908348	0.221217164626	0.483980996411	0.140886772989	0.108738059254	0.0257628196736
i	0.0102968363111	0.211724799042	0.406935050236	0.292295523996	0.0568428835007	0.0219049150048
s	0.0070143844174	0.131933472281	0.379728324577	0.349829204999	0.0901921043229	0.0413025148446
t	0.0161101468083	0.061893788747	0.430800729126	0.308225539153	0.10846451596	0.0745053007359
i	0.0221125586344	0.0598949140993	0.326755632289	0.415693634871	0.100393394745	0.0751498755263
s	0.013403675689	0.0648465947081	0.177022544476	0.444072769624	0.236006895155	0.0646475143621
k	0.0204777340117	0.0517122141407	0.211377723625	0.356596871008	0.281291427532	0.0785440326187
ò	0.0354933407558	0.0524028750735	0.228238720628	0.283772211403	0.304039873657	0.0960529779842
l	0.035089093468	0.0534464016911	0.142606749629	0.233892443934	0.456000880552	0.0789644235281
a	0.028221218285	0.0557049278663	0.127856161495	0.197868431578	0.459577009851	0.130772253443
</S>	0.0236045381798	0.053586820487	0.120260797676	0.183482622889	0.410861872425	0.208203351722
