 	forse	stanno	ancora	svegli	</S>
f	0.679848746505	0.03625267617	0.0879683337568	0.0265609489794	0.169369285986
ò	0.772476594835	0.0796342563567	0.0741549360067	0.0162413512602	0.0574928641309
r	0.614592507285	0.242802647486	0.0971876957554	0.0165553916854	0.0288617713942
s	0.410677702208	0.448612169162	0.104986284506	0.0161200370481	0.0196038003548
i	0.342434432638	0.586489961987	0.0576035640433	0.00560364141577	0.00786836957004
s	0.220102888344	0.613701609996	0.148496848322	0.0109515391791	0.00674709435975
t	0.168485683181	0.621884885332	0.18018926093	0.0126264910826	0.0168136675767
è	0.147609850172	0.660305383111	0.135052551819	0.0219377564563	0.0350944542954
o	0.0785171537769	0.50804276667	0.284087012146	0.0932461904375	0.0361068819178
n	0.0385002046769	0.312395761657	0.385902887849	0.158446493211	0.104754669566
e	0.0293501099623	0.295010333578	0.397299265083	0.152550803237	0.125789503019
a	0.0185133814084	0.257877027619	0.448910459694	0.210358716852	0.0643404249717
n	0.0105412101631	0.138752170592	0.423508919745	0.286993954757	0.140203749263
k	0.0877305784504	0.165652063822	0.311680835762	0.245251170726	0.189685333304
ò	0.118730782538	0.268705204298	0.244743673254	0.233195147215	0.134625174065
r	0.0510022294928	0.22667474575	0.321178683751	0.282477532338	0.118666800708
a	0.0276385799423	0.188008047855	0.34918512245	0.330253362577	0.104914896456
a	0.0225228728321	0.173310857137	0.25845898337	0.469994364256	0.0757129244187
t	0.0389803328866	0.104705599601	0.162523564283	0.522404459619	0.171386031006
s	0.103532438747	0.0833438307592	0.129138495401	0.388724132848	0.295261100789
ù	0.100117099617	0.102645772289	0.121339049238	0.370589678258	0.305308397116
n	0.0336729306534	0.0774139142447	0.079398849278	0.456576430319	0.352937864305
n	0.0781327563143	0.0377292865532	0.05389917445	0.444187631273	0.386051139902
i	0.0933109682799	0.0249166704536	0.055251692084	0.433650843091	0.392869827701
t	0.0663228870938	0.0179209893462	0.0557669024767	0.396552298897	0.463436937234
i	0.0571001375569	0.0168312774868	0.0479596817032	0.233295139499	0.644813774011
</S>	0.0291331022664	0.0119398648484	0.036445557751	0.135004753349	0.787476723005
