 	Marika	tu	hai	mangiato	</S>
M	0.48528562387	0.186682973157	0.0853906108499	0.0409101000355	0.201730659694
a	0.44937449339	0.273399345719	0.145607975707	0.0415399195454	0.0900782508284
r	0.38249657649	0.23691954036	0.198031267186	0.0442420985427	0.138310516377
ì	0.33345620959	0.24444916824	0.235701664795	0.0375857808829	0.148807182368
k	0.264815072888	0.282273395813	0.259799549598	0.0975863470716	0.0955256506526
a	0.178696206302	0.345514569784	0.264205386133	0.121429135415	0.0901547235862
e	0.141011198202	0.33084394728	0.393570572511	0.058446189369	0.0761281013109
s	0.0609239584355	0.184324144032	0.515936438904	0.13937883811	0.0994366012104
ù	0.0582310025057	0.159577081724	0.475818193035	0.227535490917	0.0788382006041
è	0.0595961570121	0.165053328709	0.509634492345	0.230542355026	0.0351736459097
f	0.0338966861501	0.099930529931	0.463499861248	0.358523831929	0.0441490855576
e	0.0212539702737	0.0590838103568	0.297055035805	0.441934076976	0.180673108906
</S>	0.017657099951	0.0455672813881	0.230422899287	0.408187359988	0.298165360653
