 	sto	e	cucino	</S>
e	0.653505129837	0.109447880886	0.121484278265	0.115562699811
s	0.624370744479	0.192234331435	0.124316015402	0.0590789028961
t	0.56135422762	0.245516670734	0.162681535029	0.0304475511127
è	0.485624260447	0.376059237691	0.122317498676	0.01599898116
c	0.407325463214	0.418649932958	0.162374712159	0.0116498637184
e	0.295179580779	0.409377360047	0.23096564022	0.0644773772355
m	0.137911836849	0.394072126502	0.376558363473	0.0914576437365
a	0.0646321175721	0.349203426024	0.487570996158	0.0985934442855
r	0.0430762551091	0.361768218876	0.459543380386	0.135612141855
è	0.0325078203703	0.285309907323	0.581218630795	0.100963649285
o	0.0223315162819	0.172568358228	0.570051806265	0.235048325428
</S>	0.0146378440718	0.107566220494	0.474645494133	0.403150448414
