 	vengono	vestiti	</S>
è	0.699155837947	0.19818262535	0.102661532613
r	0.531053029049	0.38944114055	0.079505822058
k	0.451826601416	0.45872846495	0.089444927644
u	0.576909953805	0.347372373683	0.0757176774527
t	0.454651850762	0.475258572761	0.0700895753976
t	0.407035298367	0.442069824614	0.150894868619
e	0.381855686796	0.284183700298	0.333960609046
n	0.197605535035	0.469578986766	0.332815491189
d	0.223975345061	0.547759411522	0.22826525775
i	0.253431812616	0.365807126841	0.380761059763
m	0.132118311267	0.460139567347	0.407742109934
è	0.0800965751557	0.545718017782	0.374185408658
n	0.145443325539	0.455785523927	0.398771156953
a	0.162586805584	0.308750900909	0.528662285718
</S>	0.0951076185683	0.168831135854	0.736061234859
