 	non	sapeva	dove	a	stare	</S>
e	0.644131361463	0.131484009362	0.0173679158612	0.062381916587	0.0256747891403	0.118960008081
n	0.455358028541	0.242778831639	0.0944970203537	0.091153181689	0.0563135423799	0.0598993823118
ì	0.223084794424	0.46769734038	0.145304481891	0.0625489581052	0.061536483664	0.0398279246878
s	0.127607174817	0.599078273127	0.179546638204	0.0518722323773	0.0234679393267	0.0184277435419
s	0.0684551694828	0.602639562442	0.233661269817	0.0672691456224	0.0114052355117	0.01656961181
e	0.0718116815407	0.525575269147	0.333985856888	0.0490103173441	0.0062816124279	0.0133352540468
r	0.0635277634509	0.399601010916	0.399722481229	0.111347448095	0.0155718567056	0.01022943201
e	0.0426932798805	0.283810476139	0.441151007076	0.193736160632	0.0286740781864	0.009934993124
p	0.0322000092306	0.141355582353	0.457873624425	0.287076903277	0.0451406307288	0.0363532439693
u	0.0163315482493	0.0649449558777	0.377868102475	0.353840048959	0.129563155874	0.0574521837098
n	0.0118539409516	0.0482655508859	0.297979855132	0.350351797986	0.227481651685	0.0640672041033
a	0.00744744868152	0.0372311813393	0.229988374979	0.333009642329	0.308036248048	0.0842870927011
s	0.00571110720494	0.0176353236411	0.204639167974	0.329098666463	0.333830255067	0.109085482527
t	0.00595901577548	0.020290148291	0.169982593017	0.311421361508	0.38112298054	0.111223918216
a	0.00593780873777	0.0210642259085	0.131036001662	0.191886859783	0.45023737278	0.199837752419
s	0.00403992315198	0.012065518601	0.136200109948	0.0913718354403	0.469452507641	0.286870129406
ì	0.00312006935034	0.0054846171068	0.111520237667	0.0500533882294	0.358650607628	0.471171088002
</S>	0.00293956698322	0.003059692053	0.0608890663431	0.0383799670897	0.223035388564	0.671696317001
