 	sto	ancora	cucinando	</S>
s	0.696324657832	0.098054854367	0.1172341388	0.0883863851107
t	0.683783733177	0.129603095316	0.0951951651741	0.091418013383
e	0.577436024926	0.288544036765	0.0358761362303	0.0981437701231
a	0.344712862442	0.525378644922	0.0556933192959	0.0742151468215
n	0.176529521881	0.538506083641	0.081544182453	0.203420212145
k	0.289919246094	0.424024263614	0.0582597178957	0.227796783064
ò	0.398998219215	0.364266997605	0.126306679475	0.110428119522
r	0.290830968455	0.365811053868	0.255571902638	0.087786102138
a	0.220892495585	0.372682696023	0.308967979813	0.0974568453993
m	0.166647466615	0.304679921941	0.424573120604	0.104099507353
a	0.138905948015	0.253114287914	0.469761821201	0.138217962051
r	0.114133763954	0.219033760919	0.449757190067	0.217075298037
è	0.0852885672811	0.183581501976	0.533493018356	0.197636912366
o	0.0639233506962	0.170937587234	0.540210012852	0.224929031389
n	0.109559679111	0.0963751196447	0.426656106684	0.367409087063
t	0.191944460993	0.0547687801082	0.358227752761	0.395059008528
a	0.141699134207	0.039758529917	0.284573217054	0.533969111416
</S>	0.0789333403551	0.0230480116099	0.200576594927	0.697442039708
