 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.693389632282	0.0751412022036	0.0215125065861	0.00608519072609	0.00351794298773	0.0482399564991	0.152113536062
ò	0.666475035361	0.123004230417	0.00877523165828	0.00243704549058	0.00327773037704	0.050733277174	0.145297434402
p	0.626447035654	0.130010835635	0.00484890957434	0.0016973683607	0.00908787430123	0.063926349828	0.163981634634
u	0.535858549825	0.236084096792	0.0172552610621	0.00307596892019	0.015080387663	0.0657547750805	0.126890965891
o	0.368967508531	0.435235917277	0.0345500066	0.00333427606876	0.0252560859079	0.0556696185373	0.0769865914016
G	0.248759641669	0.415200495939	0.0423585475533	0.0221223567398	0.0599341448383	0.114864023749	0.09676078335
i	0.186723095136	0.466655289826	0.0452375610778	0.0372817667599	0.0708780342088	0.104448395211	0.0887758314916
o	0.174153897566	0.499579012197	0.127859136022	0.0239757198146	0.0396414448035	0.0723473146902	0.062443457158
v	0.144888132506	0.38931871674	0.209088626103	0.0249226045395	0.038888501819	0.0928479601941	0.100045452027
à	0.0747630305833	0.360135790697	0.273948280961	0.0383456896198	0.0397793167897	0.090614051025	0.122413842377
n	0.0447287032661	0.261776826109	0.28207251166	0.0814378777933	0.0662825162932	0.146948213507	0.116753351649
n	0.099501389128	0.14213907043	0.227315630467	0.165023194798	0.104509208058	0.154674335002	0.106837166207
i	0.105405903504	0.07557194827	0.297078874422	0.246339926119	0.0857982795927	0.102292111267	0.0875129459159
j	0.0979328111141	0.0575931655367	0.288486645497	0.241384662533	0.0925214618776	0.152960901389	0.069120343652
ù	0.0939442957698	0.101537344571	0.204116028369	0.249245156471	0.0962284864259	0.20041866033	0.0545100341507
r	0.053114823036	0.100279675615	0.158519124836	0.311344761544	0.144377364609	0.16582649991	0.0665377627769
i	0.0389388706301	0.0550341775517	0.112812977252	0.308533199848	0.24102899927	0.135033410657	0.108618371952
s	0.0187208360436	0.0330942568279	0.0770323572887	0.284904297376	0.30714088949	0.145576307039	0.133531057784
e	0.014262951368	0.0256652712296	0.0514379196342	0.248278735952	0.37440872183	0.16985084188	0.116095560395
è	0.0578216778717	0.0252799527678	0.0434998711381	0.192920269284	0.33570097145	0.26907261816	0.075704627125
s	0.0761242071339	0.0179279348556	0.027753439822	0.142985653328	0.326201579323	0.32123773072	0.0877694299683
s	0.0567429303931	0.0217900535979	0.041693306194	0.118711392003	0.343226303441	0.27090352004	0.146932479096
u	0.043599185855	0.0191752779496	0.0458213595367	0.0845306263743	0.22427395828	0.25075462808	0.331844960739
</S>	0.0219218332678	0.0105145143983	0.0275910785304	0.0519846493072	0.14957792434	0.25006454344	0.48834545537
