 	ho	finito	di	scrivere	</S>
s	0.484682264078	0.249631880075	0.0461155805205	0.0975696585891	0.122000629761
p	0.365036726826	0.419735534105	0.0573704161635	0.103211743731	0.0546455952092
ì	0.279771572289	0.609408985962	0.0374871163685	0.0455297930966	0.0278025521669
c	0.189176615544	0.627888540528	0.0239907769735	0.147772835202	0.0111712504064
c	0.205634597554	0.521643696817	0.0573965570045	0.20751450657	0.007810643976
e	0.209141185256	0.446002528282	0.156037969915	0.17868465318	0.0101336678699
t	0.102838731931	0.449003882076	0.214811698318	0.220688605461	0.0126571008592
s	0.0481021690715	0.565551208025	0.210643238533	0.162688838258	0.0130145614434
a	0.022838814417	0.446891133902	0.361568859224	0.120483177084	0.0482180202504
à	0.0120179022585	0.178763749743	0.478917203288	0.259188670188	0.0711124717932
t	0.0302577252242	0.13929556253	0.444619761309	0.319045270929	0.0667816751655
s	0.0625065683894	0.210476828957	0.378715487103	0.222042648143	0.12625845085
e	0.0494845293167	0.175280482525	0.362089445701	0.206379638214	0.206765884331
g	0.0314808831729	0.0648262566143	0.327894427547	0.327296291271	0.248502145514
r	0.0558496520834	0.0354799002914	0.202463920229	0.433703848024	0.272502688242
à	0.0500418741077	0.0219645885317	0.120449276188	0.541258284941	0.266285997014
t	0.0489277307855	0.0466460985118	0.128013645841	0.548339902314	0.228072643938
s	0.0815372792852	0.0870889111773	0.167112377947	0.347677229371	0.316584207426
i	0.0608214963219	0.0618626018677	0.112395553993	0.225710091657	0.539210264255
</S>	0.0306701788607	0.0315539076968	0.0640336586125	0.220932487728	0.652809775127
