 	il	ladro	poteva	entrare	da	qui	</S>
o	0.493332117146	0.30329468546	0.0172069272271	0.0098215151285	0.00793724937731	0.00739989044084	0.161007596581
l	0.29952269978	0.387926621393	0.033936133669	0.0689140538554	0.108595527186	0.0404954686713	0.0606094835443
à	0.128649616891	0.424772940798	0.126839050623	0.0967081513411	0.142090377004	0.0530792341035	0.0278606289851
d	0.135083775472	0.467264060533	0.159823275612	0.0858755612364	0.0595401685911	0.0289686320548	0.0634445328389
r	0.227771848242	0.368853484511	0.133115379929	0.0768033678101	0.038711420789	0.0193478866348	0.135396619335
o	0.197427577772	0.250179229904	0.338474079563	0.076745541328	0.0225875359637	0.00698610166187	0.107599949773
ì	0.0779372132048	0.168515022835	0.518407627188	0.169055587836	0.0171495419583	0.00870591020432	0.0402291228854
s	0.0483486068111	0.190194799945	0.367921161863	0.217534089932	0.109244339389	0.0350769830148	0.0316800363985
o	0.0376077562849	0.171542861228	0.324996159688	0.217508164197	0.179255953113	0.0422579130956	0.0268311927566
z	0.0201580898936	0.0938371991685	0.334526934485	0.292318143986	0.202256557371	0.0440246244739	0.0128784441899
e	0.0127782013273	0.0476037093417	0.265824681551	0.325567157949	0.28599745379	0.05135126322	0.010877528074
è	0.00500913790879	0.0195282511062	0.212520756497	0.349111099983	0.263562818063	0.115370011561	0.0348979175631
m	0.00362783433622	0.0232858911117	0.124216478822	0.361940091638	0.262925701954	0.180062007117	0.0439419925128
b	0.0313842488455	0.0364909404598	0.116399762575	0.253502944723	0.331025117318	0.174328109248	0.0568688767656
i	0.0403734970237	0.0266197054735	0.0898965265035	0.187550833471	0.310194176106	0.219158422269	0.12620683617
a	0.0154706228123	0.010110922165	0.0449936358467	0.185458766754	0.271897309769	0.33000883821	0.14205988059
p	0.00558064372363	0.0048568333019	0.0297487245079	0.198391856275	0.21449380849	0.46600123567	0.0809268863833
ò	0.00208152014163	0.00308841989744	0.0199244022591	0.165242134825	0.161084141443	0.591914077357	0.0566653126478
t	0.00186042960754	0.00647617265518	0.0202252553266	0.116231955611	0.161656567461	0.619528807386	0.0740208142159
t	0.0109659031305	0.011707043778	0.0323757158066	0.105609825228	0.159594513687	0.504135982729	0.175611014672
u	0.0130559339307	0.00841441425614	0.0256949568817	0.0674310620914	0.110998555458	0.33106060691	0.443344465491
</S>	0.00659541000756	0.00424682631358	0.0149462424891	0.0419398511225	0.073212391573	0.242627447455	0.616431822746
