 	non	deve	magniare	la	sera	</S>
e	0.681437487993	0.136780997093	0.0301042634027	0.013333764124	0.00467357012406	0.133669933787
n	0.497586205531	0.201702598164	0.127029611001	0.0286504841167	0.0587570164889	0.086274112181
è	0.22908029105	0.310411287188	0.277675708134	0.0361745403802	0.0770030472639	0.069655161874
n	0.110877004497	0.407155999463	0.366420478178	0.0453408950814	0.0450126215239	0.0251930193921
a	0.0509712475098	0.368816267888	0.461041618726	0.0667689034938	0.034213027597	0.018188932728
f	0.0257115192287	0.228570853596	0.554717580909	0.0943136354313	0.0812193747734	0.0154670517186
à	0.017796679637	0.103338628637	0.642463157636	0.110144819144	0.110175654054	0.0160810869059
i	0.0158153106844	0.0561746954323	0.584837125212	0.192037429915	0.076244277218	0.074891180306
t	0.0111919701402	0.0348438669334	0.354381899271	0.299928427972	0.200085550073	0.099568297398
o	0.00651248527695	0.0248048617129	0.22051595859	0.343168866857	0.333413196624	0.0715846465307
v	0.00405859615464	0.0175241206854	0.18499790031	0.338793756443	0.392238189808	0.0623874534016
r	0.00600191843721	0.0101073875131	0.122058735097	0.297954772492	0.484029240669	0.0798479524472
à	0.009960052775	0.0087856268549	0.0858302614123	0.216098574751	0.469569490623	0.209755996216
i	0.0143731095941	0.0135683378815	0.0886008859008	0.123547002117	0.435222781208	0.324687885405
</S>	0.0185343391382	0.0169910426067	0.0709312427954	0.0990478315585	0.458109422104	0.336386124702
