 	il	medico	mi	ha	detto	che	non	devo	mangiare	dolci	perché	mi	fanno	male	a	me	mi	piacciono	e	li	mangio	</S>
o	0.374042892479	0.305530796348	0.054497892204	0.0090104150874	0.0602407972701	0.021263790208	0.006016197933	0.00226441450779	0.0035823537849	0.00306654468051	0.00219316388072	0.00612634272501	0.0110328671798	0.0054283428921	0.00774922025517	0.0108278100517	0.00530073873583	0.00931357500117	0.00631168244664	0.00735279043259	0.0167428109018	0.0721045714329
m	0.231988024813	0.493194647383	0.072618690458	0.0138894101851	0.05924639025	0.0296623168427	0.009250354257	0.00469228315227	0.00556335387377	0.00239132770464	0.00171522681366	0.00561495657237	0.00485795590076	0.00443407324972	0.00553738051164	0.00513973865429	0.00265272293876	0.00404198588966	0.00325699799698	0.00528364894596	0.00907084669664	0.0258976843883
e	0.173116422961	0.541831361728	0.0697662084927	0.058664155975	0.0585001580767	0.0242734205396	0.0104329091963	0.00585677642198	0.00629546062172	0.00217500060258	0.001571285682	0.00547634978929	0.00285320440671	0.00413645930247	0.00481620724004	0.00325338578693	0.00178598123733	0.00231798684759	0.00223777713789	0.00456191280711	0.00645062852439	0.00962696127776
s	0.119257173007	0.540440386576	0.0878500978476	0.100488476625	0.0680022608056	0.0231301096819	0.0149961640101	0.00890785180132	0.00607450053867	0.000931692259474	0.00392967650965	0.00383671537393	0.00186453771	0.00418586292186	0.00208911376924	0.00133444288744	0.000820778046661	0.00129824763972	0.000828702518597	0.00166794093557	0.00225110237328	0.0058141756045
s	0.118528307506	0.522692838325	0.0856715258992	0.0732010730683	0.112549880069	0.022782188828	0.014827989008	0.00975002388721	0.00815210147583	0.00217164018153	0.00529446463408	0.00370136922044	0.00239786627108	0.00546558486788	0.00243390243994	0.0016044805026	0.000796271806551	0.000979746781869	0.000733026647409	0.000732196685845	0.00131027259882	0.0042232460926
è	0.0849763095733	0.465596395242	0.160422177433	0.0669881120094	0.171296865756	0.015852030788	0.00615062339373	0.00406987937654	0.00526671993478	0.00243967427871	0.00238058280504	0.00169885182221	0.00173959723748	0.00313943918676	0.00208529921948	0.00146360220831	0.000585341040003	0.000394359791515	0.000620060284941	0.000281074429195	0.000902708735379	0.00165030367037
r	0.0330874969491	0.383074671747	0.231921358611	0.114800349336	0.117843214892	0.0476949131547	0.0133452725627	0.0194351904111	0.00713624127142	0.00423983144732	0.00599834794323	0.00663654212607	0.00194611670291	0.00206288245062	0.00294365196661	0.000827397106959	0.000873702252347	0.000267498296592	0.000535332048633	0.000828031531885	0.000502576796665	0.00399939712487
e	0.0189031721065	0.259749598242	0.24728592607	0.200326172179	0.095597024604	0.0793047377636	0.0255914592273	0.0278338182394	0.00844751628557	0.00498810795033	0.00762111247386	0.00846442868336	0.00208301037957	0.00209419819975	0.00326000090252	0.000628542393069	0.000997530901089	0.000234196775693	0.000509540922137	0.00101253648089	0.000372505143845	0.00469487043498
m	0.050851540109	0.174882801827	0.228754364941	0.20957549066	0.094133585058	0.0931289225479	0.0389993255524	0.0257575721346	0.0249437659111	0.00788414624293	0.00708183543033	0.0139262871996	0.00600106449865	0.00597582263657	0.00529933063972	0.00198729747822	0.00105829125397	0.000708592042349	0.00171055067913	0.00325871768437	0.00185640456078	0.00222429760536
u	0.0595931923506	0.138748784334	0.172360978698	0.243234615487	0.0961595537427	0.108028868076	0.0544823108775	0.0291542124322	0.0308613596992	0.00898424666436	0.00668233451782	0.0159748869472	0.0073636907437	0.00757527293738	0.00605522575598	0.00249201946801	0.00115481610069	0.00098229789163	0.00212787104394	0.00403666596906	0.00235917929104	0.0015876276439
