 	era	molto	stanco	</S>
ì	0.714779302015	0.0885033377925	0.070824276051	0.125893096714
o	0.683970403318	0.139231701131	0.116989330543	0.05980858175
n	0.637636775793	0.201330850044	0.0959883431533	0.0650440558621
e	0.524176737144	0.336107252595	0.0745685362701	0.065147494138
p	0.285514825081	0.470813180432	0.200939798829	0.0427322052099
o	0.119947158132	0.583497187797	0.237216729583	0.059338928992
d	0.0634162274857	0.634401337932	0.234104718768	0.0680777039593
d	0.0909925599186	0.568521993577	0.286580073256	0.0539053622531
h	0.15781720554	0.480733563972	0.243097406872	0.118351833024
ì	0.122941543813	0.354430362271	0.282673298677	0.239954801881
s	0.0491309799443	0.345602079857	0.388577444559	0.216689482094
t	0.0738341298838	0.310383137999	0.43833001652	0.177452711898
r	0.111645952802	0.177208756646	0.410493442173	0.300651852619
à	0.0750323052435	0.0987350862353	0.368819763791	0.45741283526
k	0.0363016983454	0.0910973496318	0.50044905833	0.372151888967
k	0.0673840084278	0.121354644619	0.607160303443	0.204101036436
o	0.0688096068917	0.0836954642456	0.405643881281	0.441851039712
</S>	0.0364373699505	0.0449228012687	0.23547277484	0.683167054856
