 	poteva	entrare	</S>
ì	0.733145429296	0.148347607727	0.118506967264
s	0.641783192832	0.266474302111	0.0917425057359
o	0.572412440811	0.341569734167	0.0860178085075
z	0.557647209748	0.404099874852	0.0382528977247
e	0.475012915901	0.471706323817	0.0532807493816
è	0.305534481307	0.597995307939	0.0964702143505
m	0.145679186589	0.75774841998	0.0965724028735
b	0.195812804003	0.600342856487	0.203844344624
i	0.192851190392	0.294178511342	0.512970295341
</S>	0.122824200253	0.178639750701	0.698536039671
