 	avete	fatto	già	le	verdure	</S>
i	0.533264036111	0.178397020801	0.0418566443592	0.0478775170828	0.0211748893118	0.17742992417
k	0.37612811439	0.2879117988	0.0670383994311	0.160737872786	0.0108445714954	0.0973392632876
à	0.245908736217	0.448595734133	0.057570746855	0.168962757112	0.00744332872601	0.0715186973119
m	0.256708790352	0.486133734911	0.0729175880383	0.117691633603	0.0337912218571	0.0327570235753
a	0.263007478977	0.33826686717	0.214503014346	0.112569661422	0.0425188590547	0.0291341180344
t	0.211714108226	0.28531106819	0.310012636515	0.147762408347	0.0216955267012	0.0235042485521
o	0.164496128281	0.208236637057	0.426122644572	0.164000989689	0.0150109647135	0.0221326466022
g	0.114072213973	0.112870182432	0.492150838724	0.215081718696	0.0370637820684	0.0287612996055
i	0.0572313788626	0.0875606655887	0.468303376108	0.306288253785	0.0448459818801	0.0357703541285
à	0.0375829817553	0.12868572256	0.467328287103	0.289795025995	0.0388350774507	0.0377728942095
t	0.0262348089988	0.124980642594	0.366892068768	0.307885205512	0.123042777984	0.0509645023965
a	0.0350616252539	0.0577260956019	0.314519536903	0.356187446931	0.136350762441	0.100154542199
l	0.0338267632188	0.0300429109958	0.238371881081	0.412155042737	0.173858785194	0.111744609073
à	0.0156285727104	0.0229435927011	0.131203113927	0.356045724092	0.372107819131	0.102071164964
c	0.0379465607859	0.0752178614505	0.105723201615	0.190612042004	0.513800097844	0.076700237488
h	0.0467637153348	0.0872455640381	0.081053460982	0.203147445461	0.54836141267	0.0334284032293
a	0.0190008315501	0.0338416518703	0.0507648800473	0.278891296047	0.468343836547	0.149157502176
n	0.014833332097	0.0172683715295	0.0473586528691	0.281780417509	0.408328697117	0.230430537459
a	0.0242296155315	0.014131410065	0.0483180564941	0.214231535345	0.314032037079	0.385057342353
</S>	0.029622125715	0.0144094547222	0.0481935674967	0.124477518036	0.201684922599	0.581612388176
