 	li	vestono	i	genitori	</S>
t	0.657305004239	0.0589626221685	0.102440381362	0.0220897465777	0.159202254491
u	0.68667692304	0.127887414048	0.113282685277	0.016560328998	0.0555926457638
s	0.54875420046	0.241156605149	0.110889772546	0.0470158612335	0.0521835451556
i	0.344310733933	0.386091079183	0.143259335256	0.0601779046991	0.0661609338577
n	0.198124118075	0.490014246921	0.115412463293	0.0967197491916	0.0997294082995
d	0.169132825122	0.4929654397	0.126867211258	0.110324404626	0.100710113582
ì	0.172070674667	0.53061804766	0.209949215059	0.043962997952	0.0433990836976
n	0.10150086158	0.498164705153	0.198956040246	0.145905926926	0.0554724870861
n	0.116455325111	0.350272995891	0.229878763575	0.195355086569	0.108037833413
o	0.119547090658	0.231490498324	0.39785585071	0.124018021058	0.127088540079
n	0.0612402580959	0.190754416873	0.384068919426	0.267932185995	0.096004233457
e	0.0344653919608	0.19460707161	0.369714329139	0.335505094058	0.0657081285793
i	0.0158391690553	0.146888725958	0.464246860886	0.297205644513	0.0758196060467
g	0.00604688660398	0.0735960332673	0.392389710529	0.454912407371	0.0730549507156
e	0.00711453925193	0.0663103457551	0.301389570161	0.505093741657	0.120091793839
n	0.00773203494864	0.0486338904304	0.236767031398	0.571368055886	0.135498990806
i	0.00495296488214	0.0307323287162	0.163335584355	0.657262834629	0.143716284129
t	0.00655533293457	0.0315906168639	0.108404560054	0.70163245821	0.15181703451
ò	0.00700254459472	0.0268930311565	0.097968030271	0.705572107403	0.162564293637
r	0.00879090248277	0.0193183091156	0.15258746057	0.653762568001	0.165540761012
i	0.00829876221298	0.0105767052966	0.125598789325	0.5238635242	0.331662215137
</S>	0.00522436684357	0.00735905293535	0.0771197013349	0.3563185091	0.553978366569
