 	lo	sentii	che	arrivò	</S>
t	0.572546971056	0.11721491953	0.0176865065884	0.118400993519	0.174150583689
o	0.463323348381	0.30195412901	0.0664480617961	0.108074387	0.0602000586267
n	0.304937475477	0.33494186639	0.212398553979	0.125854756847	0.0218673536171
ì	0.179257825042	0.381924123517	0.285722393066	0.144593313144	0.00850237306137
k	0.153512002514	0.441206613039	0.277640093589	0.104372882189	0.023268419754
u	0.231503558669	0.383332817546	0.271177781896	0.0793478796055	0.0346379442397
s	0.189984532287	0.348142270515	0.399139188299	0.0405853184086	0.0221486699728
a	0.0834545720417	0.2871950639	0.5713821901	0.0385535447366	0.0194146072431
k	0.0377567296646	0.232794193889	0.528867250033	0.175793754061	0.0247880493109
a	0.019715983685	0.130787283321	0.434314055744	0.354645166354	0.0605374879703
ì	0.00922507048159	0.0586647653617	0.294527852215	0.558771590785	0.0788107088368
r	0.00573256272166	0.0299926568306	0.202731117838	0.690255358928	0.0712883037923
t	0.0293556023452	0.0417179666769	0.242763052546	0.519109455696	0.167053919725
e	0.0356599631748	0.0364025105088	0.182717952609	0.316091370419	0.429128192903
</S>	0.01940553022	0.0197289720092	0.0985267528445	0.259061688909	0.603277040451
