 	nella	pasta	vuole	sale	</S>
s	0.730765786877	0.0575646430923	0.0988594638927	0.00810703515952	0.104703093204
t	0.696643812226	0.128219364271	0.104966253494	0.0178082498706	0.0523623368986
i	0.643938738142	0.21309077029	0.0910139417647	0.0177073395726	0.0342492257941
p	0.403816076481	0.19613751583	0.157336488575	0.16556514895	0.077144774785
à	0.233873487034	0.25246510801	0.199702975945	0.220301978092	0.0936564496753
s	0.226981543651	0.37229871567	0.241092571935	0.112020720837	0.0476064411876
t	0.13905735111	0.460605397333	0.202802315098	0.162785873253	0.0347490506048
a	0.0757384717567	0.433790618154	0.286681606153	0.174395945767	0.0293933460683
t	0.0498180892436	0.235224050518	0.437398200498	0.249765065996	0.0277945728228
è	0.0320407182995	0.13155029193	0.472143645146	0.322648072985	0.0416172575343
l	0.0674508001534	0.118260882467	0.479071622915	0.266884821915	0.0683318762848
i	0.0758826938535	0.101856248547	0.401172755372	0.305284822105	0.115803481008
à	0.0339198788256	0.0622595711773	0.365100975591	0.414642483568	0.124077097229
l	0.0124024392489	0.0281776284919	0.266105418597	0.570694703589	0.122619814663
a	0.00613401119215	0.0140756450709	0.13745504898	0.532225937463	0.310109361781
</S>	0.00472943830744	0.0117037685519	0.114258257662	0.402765606131	0.46654294589
