 	non	ti	dimentichiamo	mai	</S>
e	0.538462381121	0.244584896365	0.0380548392633	0.0305655109423	0.148332369483
s	0.407527412002	0.365715538388	0.121238461621	0.0299635995867	0.0755549837829
e	0.236736697737	0.554167783463	0.13809378314	0.0209878621396	0.0500138522186
a	0.111720542742	0.590237010821	0.23926938718	0.0377022394565	0.0210708008889
l	0.0464582583165	0.3164597505	0.46045942304	0.158847731485	0.0177748388867
l	0.0253843360642	0.30106682006	0.46276078706	0.195572739795	0.015215313407
i	0.0321184050959	0.389654460953	0.377339417287	0.11626048281	0.0846272220645
m	0.0469577844638	0.26482971254	0.412976100065	0.166149644049	0.109086738814
o	0.0583141240804	0.207711189849	0.420579710991	0.21704283923	0.0963521354127
n	0.0442699852933	0.223937499936	0.35355628083	0.279775752957	0.0984605031642
ù	0.0182511373181	0.157949652248	0.333808359803	0.429222860904	0.0607679981814
m	0.031420500031	0.144689334405	0.296049462354	0.48139702242	0.0464436808938
e	0.043506062191	0.144783612552	0.217050930738	0.493375712793	0.101283682631
m	0.0266462636288	0.0724423192207	0.165291669044	0.594422066918	0.141197677484
à	0.0127377722677	0.0327973266913	0.165700655963	0.668953954839	0.119810277701
i	0.00589914935211	0.0155660468202	0.121570095582	0.628638922146	0.228325777967
</S>	0.00499730451394	0.00958124128807	0.064359097117	0.588567608073	0.332494745983
