 	se	si	era	vestito	la	figlia	l	avessi	portata	alla	chiesa	</S>
a	0.541935174276	0.116980494133	0.109280173729	0.012425499976	0.0059893787597	0.0314955040153	0.0168314804544	0.00936484382409	0.0149920772225	0.0125193510225	0.0414509786637	0.0867350302571
n	0.42895975232	0.205018361111	0.150932036616	0.0481849762767	0.0192228329344	0.0190310169816	0.012079500074	0.0122407748996	0.0122295938633	0.00813305105747	0.0177204785013	0.0662476220274
ì	0.241661320189	0.424902434437	0.129674118912	0.0627526356309	0.0250103115903	0.00956313241651	0.0103755308317	0.013197050596	0.0110397110012	0.00652639475925	0.00618710693177	0.059110262083
c	0.12334581643	0.512253720612	0.118953130371	0.080727122339	0.0338944341762	0.0241045116063	0.019742361484	0.0161945414338	0.0107435260223	0.0142619122054	0.00998701101893	0.0357919456719
h	0.0930957037013	0.424770617337	0.16492666742	0.122356345253	0.0398497534414	0.0332778343796	0.0232097837227	0.0175759011875	0.0114807294848	0.0168362775908	0.0112167144642	0.0414037008498
a	0.0831486884088	0.373947355779	0.288338999503	0.147303168091	0.0301616389271	0.0178737113749	0.00864912963991	0.00798974375458	0.00553112667983	0.0058449693077	0.00376020630549	0.0274512852804
n	0.0350694796459	0.23353942366	0.375523284661	0.178530809364	0.045198814769	0.0093487982643	0.00446570559458	0.0369463813707	0.0177581172968	0.037469403318	0.0121182848316	0.0140315148435
d	0.0183491704033	0.152893369687	0.31116862238	0.224326071655	0.0655649581897	0.0442528751961	0.0162952060611	0.0489643038702	0.0372630888138	0.0528284917329	0.0149783055138	0.0131155191031
ì	0.0477001989541	0.178455810627	0.21747471406	0.317952947418	0.0583580365299	0.0619058196261	0.0251339431502	0.0250769390925	0.0318836841247	0.0228526516913	0.00508895743757	0.00811627037993
s	0.0565842693016	0.169714975173	0.178062843553	0.347992582539	0.08620346771	0.0388528949328	0.0257984971399	0.0414139518822	0.0194765094494	0.0113339039199	0.00500880045602	0.0195572889615
o	0.0277368730931	0.1259875559	0.138382845338	0.349390025713	0.179625197303	0.0570197816243	0.0263553000773	0.0454159838958	0.0144745696605	0.00734848493881	0.00497869971206	0.023284677394
n	0.0135652609587	0.0730523024384	0.0983693771993	0.314692822018	0.256221988368	0.0563509049948	0.0185906068604	0.0810371846557	0.0430050570302	0.0298026741465	0.00498729947507	0.0103245116834
t	0.0203296123214	0.0383413360369	0.0622581644264	0.231078928519	0.291564268389	0.0681806361849	0.0294144079335	0.0956333774479	0.0935399055127	0.056310195856	0.00536690909795	0.00798225079964
a	0.0273087569855	0.0509927071769	0.0425192589221	0.205817118373	0.32370331613	0.119978414488	0.0528452433312	0.0470988159639	0.0837007531324	0.0389158975305	0.00218153335095	0.00493818947374
i	0.01444813387	0.0518218500431	0.034791372532	0.169348479324	0.311779046243	0.168477593183	0.0677611885837	0.0594169961326	0.083818659644	0.0258086864656	0.0052388055626	0.00728919079053
k	0.016084543799	0.0289556975816	0.0291892340824	0.106274290155	0.247635987348	0.221767818188	0.102318399895	0.0696257821909	0.0989541524967	0.0507933824696	0.0114010507316	0.016999662491
i	0.0174149065984	0.0192939103351	0.0242471117612	0.0952479216317	0.253128654849	0.257460737996	0.136948529918	0.0510628397976	0.073231308775	0.0479668594043	0.00901142361879	0.0149858056646
a	0.00676801125215	0.0146193088662	0.0161396665177	0.0911026509639	0.22641640599	0.244814555399	0.167653114826	0.0824444954132	0.10555587995	0.029423829113	0.00869669477408	0.00636540227072
t	0.00459523499998	0.0120362578903	0.0169501440906	0.0555181652746	0.16469773637	0.187167357933	0.189932676009	0.148446486404	0.115356484977	0.0409029185694	0.027345913173	0.0370506352238
è	0.00516339269211	0.012932991184	0.015026009019	0.0462210941535	0.16364533595	0.125159857311	0.16629045747	0.267657023468	0.0871040233923	0.0341554893818	0.0297295656794	0.0469147500881
r	0.00854240558089	0.016411170073	0.0195742114091	0.0538053737465	0.14750881581	0.156599346304	0.16647807129	0.288421564043	0.0835906690641	0.0229099843453	0.0145839791975	0.0215744035882
a	0.00852088216978	0.0129435214886	0.0202494141906	0.0434959581695	0.111347352337	0.181327396168	0.255241264697	0.212212557234	0.0964044880747	0.0367801524998	0.0088361641287	0.0126408632034
i	0.00310400779776	0.0056614651432	0.00766382760694	0.0234523149106	0.0646918903403	0.116765019049	0.275321103966	0.272097898411	0.146681648878	0.0638940198646	0.0149976189968	0.00566919852661
n	0.001187357648	0.00344731061131	0.00466988219214	0.0127560394452	0.0287112277714	0.063236731123	0.166542336722	0.379538917337	0.147844214519	0.0921606637215	0.0548480395881	0.0450572859737
ì	0.000654264525011	0.00276803070489	0.00345394856037	0.0121425194774	0.0408816886745	0.0430499539954	0.138083016321	0.421863323979	0.136260169866	0.0774318903725	0.0652880699443	0.0581231080144
c	0.0035841709793	0.0469268888135	0.0221685693185	0.0268715244839	0.0589326142055	0.0659717056162	0.130793015198	0.354337778082	0.125735082889	0.0386565754295	0.091461007171	0.0345610473346
h	0.00831329883222	0.0706812522185	0.0369920035588	0.0361319102316	0.0539254168218	0.101597526982	0.109297546143	0.222879131316	0.16343891083	0.0654916797498	0.0981018391001	0.0331494711022
a	0.00717472729562	0.0339519838302	0.021637274375	0.0238203897658	0.0371124832217	0.0881546344473	0.121181664956	0.126765713839	0.24088818421	0.19910477945	0.0597997448822	0.0404083975514
p	0.00375934688528	0.0139941382105	0.0110719125589	0.0164816689562	0.0242432926263	0.0393983040758	0.084754100754	0.147293179486	0.24572790463	0.26171736995	0.114195187881	0.0373635795971
à	0.0023089079152	0.00691100101311	0.00714393818489	0.0132963862653	0.0226861949228	0.0216940409993	0.0725508861913	0.191868753702	0.29253008697	0.191183380117	0.15245457236	0.0253718585324
r	0.0134724989197	0.0068351425138	0.00691070314505	0.0104452740516	0.0209170357393	0.0241150734004	0.0768698513371	0.177013182607	0.30522828191	0.175955182506	0.153030067427	0.0292077008308
o	0.0173051057273	0.00700745359518	0.00683327236858	0.0091084280889	0.0204122854247	0.0318016745378	0.088516710719	0.142982839773	0.20414705909	0.242870854102	0.156541974886	0.0724723260769
n	0.00614372641014	0.00293307210148	0.00249537514087	0.00441469430643	0.0127351479381	0.0255722095379	0.0821126378297	0.122906587788	0.12797850245	0.291801450034	0.227513605473	0.093392985797
t	0.00271705449472	0.00189143321147	0.00134662441965	0.00280832345994	0.00681229892273	0.030265654505	0.0580105282732	0.098669586236	0.12032804217	0.372717197811	0.232351677751	0.072081584477
a	0.00154531915805	0.00142932459981	0.000838260086193	0.00194604626344	0.0051319419081	0.0328584108988	0.0494073453597	0.0530953176387	0.134635026523	0.444852105204	0.148766876384	0.125494034332
s	0.000709406651838	0.00160513179366	0.00204736301486	0.00476478147048	0.00672127755102	0.0131962468667	0.0249862192952	0.0597162976796	0.133869213881	0.388187821801	0.213169648877	0.151026589484
t	0.00154420013297	0.00784512954796	0.00304721667783	0.00828000911809	0.0130818072104	0.0284853735262	0.0371376733384	0.0613951431665	0.12192824356	0.361175045534	0.214345748174	0.141734407535
i	0.00176719422237	0.00895883506164	0.0016560704774	0.00585174155453	0.012140169822	0.0338274784076	0.0407211646641	0.0322500391188	0.112955585747	0.372446702045	0.147725776125	0.229699237512
n	0.000847575749122	0.00349155334266	0.00122114808045	0.0029546739994	0.00549985299484	0.0122314175275	0.0158872324787	0.0364415647496	0.096065933649	0.343652184462	0.242497950955	0.239208911637
a	0.000538432360959	0.00183354437271	0.00107904540389	0.00217998709227	0.00938911725226	0.0128899971428	0.0359638167632	0.0556948958499	0.081880742343	0.298758598201	0.301827956205	0.197963872012
g	0.000394589091161	0.0015248132587	0.00235567894086	0.00647503027691	0.0150675468588	0.0133461941191	0.0436017496721	0.06323053491	0.0957652649477	0.284186658	0.321518381108	0.152533556711
l	0.00437075821109	0.0131896502733	0.0042740871267	0.0130485474553	0.0286623767599	0.0293951937267	0.0428446500854	0.0569553000527	0.117263271623	0.259337280733	0.314117713469	0.116541171377
i	0.00567331705321	0.0164709130177	0.00294729829223	0.00995118797218	0.0287602055952	0.0349918733734	0.0428907078009	0.0342970728289	0.110360582941	0.213696346244	0.253273378256	0.246687118559
s	0.00218256943589	0.00632036177027	0.00237004287874	0.00618657503789	0.0129845088344	0.0128744572597	0.0175054680647	0.060658186765	0.100184514294	0.188447369148	0.320682753303	0.26960317462
ì	0.00105788017611	0.00296934048031	0.00217797312367	0.00495836401631	0.0088753569611	0.00698185992855	0.015048026781	0.0739457351617	0.130932380371	0.139687491383	0.426454543186	0.186911020973
a	0.000524433432158	0.00114690668969	0.000817327449723	0.00188495419448	0.00506451823884	0.005091140294	0.0134907978618	0.0351697272526	0.107228375644	0.0947948843943	0.438026356595	0.296760561058
</S>	0.000278255020994	0.000641409743897	0.000524974200484	0.00106570928342	0.00265349628579	0.00329899060736	0.007638357374	0.0229608664043	0.059364227362	0.0783735727972	0.412127334298	0.411072792129
