 	tutto	il	cibo	vuole	girato	</S>
ò	0.723307057803	0.0577833427671	0.059299455687	0.0387086126962	0.00855755892294	0.112343949904
l	0.53083258609	0.149110242558	0.140825862395	0.110722501984	0.0173813634239	0.051127424868
o	0.278177495052	0.353918977669	0.204152415358	0.111533242068	0.0203527064817	0.0318651740839
o	0.153149278896	0.408486856854	0.302870735946	0.111160696249	0.00789116686447	0.0164412831969
m	0.057629268706	0.263487152783	0.382597457249	0.161339639116	0.112699304932	0.022247174202
a	0.052036093384	0.252976255328	0.390775426416	0.129406703465	0.149744446622	0.0250610768693
r	0.05158757248	0.272875849543	0.384667867472	0.101115055782	0.136971364052	0.0527822835851
ì	0.0287550557427	0.184908509948	0.434448783157	0.154422809327	0.138052626587	0.059412210215
o	0.0166357495028	0.10411981584	0.385913648252	0.399633207109	0.0621596205987	0.0315379881519
t	0.0125288304721	0.0472933758376	0.204487264551	0.550642622836	0.156449544127	0.0285983804442
è	0.0136717537149	0.0367531962959	0.176527469317	0.504076644079	0.231518105882	0.0374528240347
l	0.0236465758969	0.0487465468486	0.231079090506	0.40698861736	0.240409382107	0.0491297793249
i	0.0315906882584	0.0552563123837	0.200090627649	0.307636804453	0.279393862636	0.126031696135
v	0.0201454483898	0.0451371400261	0.140413115056	0.326387450951	0.320115071612	0.147801770098
o	0.0117658401989	0.0271764504484	0.106935043525	0.332991565317	0.351509662422	0.169621433286
t	0.0110812497243	0.0141375782938	0.0779253551723	0.297147886126	0.416942397025	0.182765528249
i	0.0105629602788	0.0128076740118	0.0598540159101	0.228740030862	0.459473556035	0.228561769903
m	0.0106584407386	0.0118342082645	0.036116388252	0.132119185754	0.557975743705	0.251296043688
m	0.0105580873026	0.0134517917575	0.042134764444	0.069903312318	0.675523865235	0.188428176792
è	0.00703989836715	0.0128859764031	0.0396794673529	0.0801329917127	0.536573523588	0.323688134774
n	0.0585339357193	0.0108515394633	0.0234154806626	0.103119866044	0.468508193973	0.335570992458
o	0.0766877065963	0.0104482102216	0.016090828245	0.08496211363	0.393146423838	0.418664729686
</S>	0.0401248215665	0.00628569816309	0.0112350713287	0.070407268038	0.268826312289	0.603120833843
