 	vuole	pianto	</S>
e	0.805125723197	0.052084691724	0.142789586122
t	0.736362372046	0.194479388084	0.0691582396703
è	0.655390378595	0.294800132881	0.0498094780314
l	0.708530814465	0.243274878284	0.0481942977635
i	0.571704048915	0.332308108132	0.0959878554942
k	0.402484824752	0.483563097484	0.113952099125
l	0.312853843171	0.592489046935	0.0946571109788
a	0.178555852512	0.584076888798	0.23736725337
m	0.0714088049053	0.610903253419	0.31768793939
m	0.0893465717648	0.66977419834	0.240879235494
è	0.120487473793	0.525897256647	0.353615281396
n	0.209745368666	0.411109786922	0.379144849732
o	0.20684246231	0.34124591443	0.451911634511
</S>	0.104571097566	0.269984608339	0.625444310256
