 	dei	genitori	</S>
à	0.828917438418	0.031697080466	0.139385490493
t	0.819185895473	0.110576053513	0.0702380714136
t	0.747711595424	0.202078308445	0.0502101194696
u	0.773442698941	0.200816125322	0.0257411920983
s	0.599818714847	0.283304622554	0.116876668778
g	0.497586209129	0.346340939358	0.156072862517
e	0.496635720823	0.307555815093	0.195808479519
n	0.349467323734	0.408406375698	0.242126315173
i	0.279833138101	0.476155168166	0.244011718971
t	0.205333061656	0.559952386322	0.234714579724
ò	0.14303109432	0.663855106107	0.193113808175
r	0.204788331315	0.598707255369	0.196504408325
u	0.185404494156	0.428618658323	0.385976849508
</S>	0.117486379055	0.290947174962	0.591566452754
