 	dove	aveva	per	stare	non	aveva	</S>
p	0.52005497312	0.15736621154	0.149083532841	0.0182444275639	0.0247446515707	0.0305921759098	0.0999140153376
u	0.298351027687	0.30866760918	0.26394111168	0.0433941572053	0.0182402799	0.0279779902627	0.0394278120639
ì	0.152424166711	0.516052845727	0.236579478027	0.0513334938159	0.0159601709595	0.00986895883251	0.0177808683155
c	0.0876071378447	0.630221802576	0.181038779876	0.0286849865181	0.0344781400795	0.0290471884836	0.00892194811781
h	0.077925159254	0.563422789525	0.253382815692	0.0163761165169	0.0385113258372	0.035635494477	0.0147462836388
e	0.0719237553985	0.429709153108	0.409146986564	0.0244107312148	0.0365926793599	0.0131149151242	0.015101776195
n	0.0518573036133	0.301836944769	0.499010654855	0.0282143095095	0.0758455551761	0.03345718913	0.00977805690934
a	0.0464813590136	0.224947859583	0.485920350952	0.0934975138965	0.099973229258	0.0408899685527	0.00828973276683
s	0.036696176379	0.147145071854	0.458978404651	0.134888037892	0.0989183521793	0.089430234873	0.0339437231157
t	0.0827537802383	0.0970199733513	0.388607530884	0.186083878291	0.0794178289531	0.107578300841	0.0585387088155
a	0.0905427361136	0.100490560511	0.300543655761	0.31164417217	0.102536663078	0.0456653612705	0.0485768591674
s	0.0368124356609	0.0806557144607	0.218158536534	0.312046091029	0.143463961739	0.161363826397	0.0474994365611
ì	0.0146013067481	0.0377525652147	0.132858736945	0.181764282495	0.318916709293	0.269032273266	0.0450741204224
e	0.00666874765336	0.0197334788726	0.0676544201643	0.0770029388621	0.524643707098	0.254416201955	0.0498804845461
n	0.0037578462686	0.0114650513625	0.0296213502241	0.0435359901498	0.397526757233	0.432497006652	0.0815959779854
ì	0.00404552765618	0.0057803434421	0.0126818025391	0.0221208366653	0.287757755811	0.587212187551	0.0804015455551
c	0.00438208417503	0.0838317855379	0.0170896703928	0.0170215338408	0.272766148633	0.560023344972	0.0448854204504
h	0.0472888958421	0.130422901414	0.0305209087263	0.0669787024359	0.207652284027	0.453912445046	0.0632238427861
e	0.063666699924	0.0681200019469	0.028352878532	0.0842490198114	0.152125819369	0.318818805749	0.284666769346
</S>	0.0367097691444	0.0378822626911	0.0206080728408	0.0511956772048	0.101736456244	0.279640256574	0.472227501673
