 	i	bambini	non	si	vestono	da	soli	</S>
t	0.390233321989	0.226828226775	0.0861861671975	0.0750078429643	0.0282650076065	0.01811769193	0.00769154175083	0.167670211338
a	0.420146581843	0.282680299098	0.0988557737508	0.097393555584	0.0214141706235	0.0109904696729	0.00509623994424	0.0634229100468
p	0.373128881629	0.231387147945	0.145587641917	0.140600096876	0.0229638840531	0.0342769058296	0.0170132075708	0.0350422249463
e	0.280231401543	0.25138096269	0.202283597252	0.167145032091	0.0139632660378	0.0401602399095	0.0208820919956	0.0239533916064
t	0.169810033611	0.332285152147	0.210910120484	0.154310334424	0.0324677783007	0.0286331413311	0.0221267117893	0.0494567239579
ì	0.0850751425999	0.319643095629	0.294354939095	0.137929719201	0.0572171867942	0.0255294309697	0.0225413935306	0.0577090940009
a	0.0610765917368	0.232466923508	0.413191643698	0.207293924	0.0436282374707	0.0143183734726	0.00792537412065	0.0200989347392
e	0.0338978228663	0.123325593693	0.420770871233	0.344209588	0.0281361483702	0.0366521540355	0.00423660349834	0.00877121505703
n	0.0164572564347	0.0711215944999	0.289015578254	0.335682695767	0.122590520777	0.0589524657818	0.0301550728804	0.0760248140147
i	0.00792959688115	0.0522013024536	0.212319243928	0.314671091022	0.232638925499	0.0451811031606	0.0377154138155	0.0973433288057
n	0.0049265264268	0.0703873692035	0.157343782796	0.266082553207	0.307808967933	0.0476551299202	0.0684142879078	0.0773813807607
d	0.0211620236369	0.16700372347	0.087425270992	0.126941898649	0.330013433098	0.0973164797734	0.0824946316446	0.0876425352122
ì	0.0310271811092	0.167347494927	0.117419594757	0.10438708973	0.358404049153	0.131618399324	0.0375660939009	0.0522300958261
n	0.0439375685088	0.0770206471422	0.110554884932	0.10650599311	0.381611302784	0.134024715175	0.0950732464753	0.0512716521014
n	0.116683844601	0.0559101983899	0.0637663040533	0.08204890957	0.302887717881	0.167739944525	0.121430699237	0.0895323899205
o	0.115737182561	0.0378130716423	0.0610557632873	0.10491876979	0.245108256847	0.272761124308	0.0634470553563	0.0991587687488
t	0.0491814609654	0.0215271094465	0.0459878482063	0.128853972957	0.265847532711	0.316419772303	0.105143264679	0.0670390541963
t	0.0260932594884	0.0266737095088	0.0269299056191	0.0994748607257	0.337347225066	0.313490083234	0.120681192165	0.0493097925614
e	0.0119738129848	0.0247761677155	0.0212130445145	0.0798204911792	0.312101883222	0.409833737345	0.0715557832537	0.0687250766898
m	0.0165899747896	0.0123546321324	0.0148974272523	0.0683297301491	0.24273986025	0.438148776448	0.138809670151	0.0681299200499
a	0.0182000773244	0.00794892328149	0.014140372083	0.0845290531887	0.227523246159	0.397712413149	0.18031806825	0.0696278547033
n	0.0072208167747	0.0037142825793	0.0125747955014	0.0743983346634	0.234779571345	0.335892414383	0.253269390783	0.0781503951344
e	0.00313061076809	0.0022165688304	0.00895150237728	0.074564336749	0.224550106847	0.263243678461	0.348418948874	0.0749242360781
c	0.0218579373048	0.00937971651346	0.00741499727504	0.0782412047147	0.18778198588	0.22477532522	0.402432964671	0.0681158523594
h	0.03192987688	0.0253933984166	0.028364737779	0.0503668469222	0.176671947084	0.26165978814	0.340399373597	0.0852140128731
à	0.0151226473802	0.0222511764043	0.0330691918401	0.035124629073	0.127747092135	0.257954173893	0.329744129972	0.178986948844
t	0.0442011201157	0.00893504100539	0.0156304341046	0.0250524920255	0.0776346659117	0.254429178478	0.388388129324	0.185728934948
u	0.0537138214168	0.0046364526807	0.0107498929086	0.0248358810064	0.0680703154391	0.253720622093	0.246260166241	0.338012842049
</S>	0.0274013622398	0.00255003121597	0.00693550083762	0.0176058722166	0.0522456142824	0.187284121947	0.16021494782	0.545762543025
