 	da	da	un	famoso	poeta	</S>
p	0.624560549688	0.143679302155	0.025395710721	0.0437891925374	0.05615553371	0.106419734128
u	0.447257388163	0.385703692052	0.0401860368203	0.0345041434345	0.0509341021087	0.0414146527302
s	0.232893304721	0.525071288017	0.0674475097868	0.108513476347	0.0355687013396	0.030505735846
s	0.15579117124	0.458348291006	0.168045679582	0.139547105858	0.0306416398344	0.0476261211993
è	0.124319658484	0.451833245335	0.297099435894	0.070103282762	0.0120372995454	0.0446070831701
n	0.0825051184587	0.453849952645	0.329768188478	0.068915869034	0.0459237551879	0.0190371220728
a	0.0600416572122	0.397905721748	0.370050574626	0.104452977231	0.0580675760913	0.00948150010122
f	0.0384556371193	0.263926428143	0.439775339809	0.108406887677	0.141136938112	0.0082987637083
a	0.0258282600947	0.154936849788	0.43577783707	0.200660405692	0.173705745264	0.00909089153943
m	0.0172393957639	0.102712212429	0.40921915723	0.283445874764	0.178259127248	0.00912422548114
ò	0.00927471548573	0.0444914191599	0.38126456375	0.284116624788	0.258657977616	0.0221946948604
s	0.027920845267	0.0445147868836	0.347226082917	0.295611748596	0.245944884939	0.0387816569868
o	0.0346764863708	0.044432111806	0.229582729272	0.378927692865	0.246389930713	0.0659910585756
p	0.0142370471041	0.0215994655918	0.10368771374	0.377832229688	0.419564935971	0.0630786155785
o	0.00695889066653	0.0104854806816	0.0561680879893	0.320997274629	0.53838885579	0.0670014143795
è	0.0035816314824	0.00551239860925	0.0381927857384	0.300285542476	0.573080271063	0.0793473655865
t	0.00469185026935	0.00766631702543	0.0801910299815	0.246977439092	0.587520267021	0.0729530949188
a	0.00543635466189	0.00872573379071	0.08205597224	0.219469192084	0.448994949007	0.235317808903
</S>	0.00369721506787	0.0059859970994	0.0437458552092	0.187178060622	0.372684000504	0.386708881452
