 	lo	posso	finire	di	fare	</S>
t	0.639793663101	0.0659759762251	0.061791418714	0.0289284734904	0.0352047278955	0.168305710452
o	0.6171559057	0.184023506355	0.0777503164647	0.0287406592421	0.029654816097	0.0626747575455
s	0.431399795447	0.340160436852	0.107964611215	0.025001710848	0.0692263143196	0.026247112086
ò	0.248770698629	0.493683968751	0.139732140298	0.0236496607582	0.0826866693977	0.0114768701817
z	0.229027474823	0.483550340717	0.135764113886	0.0576849863136	0.0358013997474	0.0581717079498
o	0.21735894697	0.417466192706	0.184642948649	0.0853655848939	0.0202734931045	0.0748928527121
s	0.127481689553	0.404694679835	0.27524835555	0.125886505111	0.0312055869275	0.0354832012152
p	0.168417281764	0.285450317945	0.321751415283	0.139296556017	0.0542652660922	0.0308191950939
i	0.178334964226	0.228003294582	0.403483162261	0.117235956339	0.0470796901817	0.0258629573681
c	0.0666201314255	0.164775357867	0.457809603707	0.165975813246	0.119562769741	0.0252563183347
c	0.118683570094	0.108497969362	0.362814668682	0.161688215335	0.183854759347	0.0644608000942
è	0.136703974878	0.119430523187	0.344012119787	0.142781553632	0.166959535816	0.0901122863734
t	0.0786911091327	0.103785862829	0.424442844596	0.153333448811	0.172275551739	0.0674711858665
s	0.085846504812	0.0894628103563	0.400685058465	0.137494134804	0.172446242086	0.114065242389
i	0.0575060783523	0.0729744015278	0.268139377848	0.273778959201	0.142080830335	0.185520346336
t	0.01992075284	0.0415411807203	0.220785371026	0.391912274042	0.167027760145	0.158812670712
s	0.0192304055287	0.0385310444141	0.238654755525	0.314751672989	0.252820732348	0.136011402877
è	0.0186202385064	0.0270498420056	0.159297227415	0.28128549933	0.334283569049	0.179463636399
k	0.00994730372152	0.0227822450036	0.118239453578	0.283394371977	0.388134863816	0.177501765613
à	0.00701601016935	0.0208901181392	0.097749984766	0.200243916192	0.470326617405	0.203773360818
m	0.0163419272801	0.0174419012663	0.0973335431953	0.141931917264	0.534278485828	0.192672241386
i	0.0197331287703	0.0241621248624	0.0983879482422	0.118341031155	0.417999372569	0.321376399642
</S>	0.0103475110645	0.0242595128795	0.0547112842367	0.0807838063775	0.313072632184	0.516825244821
