 	sono	vestita	</S>
ì	0.678651688284	0.21225944216	0.10908886049
m	0.587912378835	0.369615579887	0.0424720360375
e	0.449684426352	0.515428229462	0.0348873440533
n	0.387536515517	0.545661632087	0.0668018448311
d	0.375028061706	0.548018382896	0.076953552133
i	0.328141750877	0.463106544565	0.208751702267
m	0.1682296	0.589717350855	0.242053054156
è	0.0891130171067	0.684341266818	0.226545725452
n	0.143089037282	0.570218265139	0.286692699417
i	0.153273737104	0.374366202646	0.472360062072
</S>	0.0806331620564	0.223174916223	0.696191922036
