 	vuole	andare	a	Lecce	</S>
i	0.686683830546	0.125403927064	0.0243990151747	0.0202997646334	0.143213494783
t	0.586453685889	0.209029826221	0.0754136453536	0.0775795012758	0.0515233573534
è	0.50584116513	0.291717534074	0.0853504169799	0.0969559896125	0.0201349052978
l	0.499919754777	0.337743298825	0.0876422702066	0.0652597897724	0.0094349156854
i	0.423194098366	0.430714530675	0.0943926331689	0.0465508392335	0.00514792772027
n	0.263631291295	0.548991170758	0.118880009323	0.0654594881592	0.00303805754862
a	0.172358379573	0.581803747453	0.158155198241	0.0838485353064	0.00383414373094
p	0.129783483491	0.492112609484	0.20496657028	0.168449429196	0.00468790664798
à	0.052803374759	0.349624307695	0.246488250227	0.342723749532	0.00836031976133
i	0.0240167351356	0.213771921781	0.212351656067	0.533287872311	0.0165718156384
L	0.0134331380748	0.170782165249	0.162149990014	0.634939045024	0.0186956569478
u	0.0119609032177	0.184387631976	0.226890660138	0.524739434328	0.0520213628729
p	0.00729125445566	0.099405353222	0.298660623179	0.531055722309	0.0635870456643
p	0.0514450191266	0.0763708233173	0.30291090726	0.533652934464	0.0356203208681
ì	0.0687416209509	0.0863016946491	0.245406743013	0.482254903183	0.117295035603
u	0.027763313887	0.054355869293	0.109591992752	0.588314549728	0.219974265868
n	0.0148682886304	0.0405555569176	0.112529747473	0.605634284576	0.226412118383
a	0.00976436918495	0.0375043291553	0.120140455891	0.419715889325	0.412874951128
</S>	0.0055690470447	0.0241226898218	0.0789969908455	0.281081954362	0.610229308564
