 	non	so	cosa	scrive	</S>
e	0.584455397825	0.164094464852	0.109636564464	0.0068779082808	0.134935674617
n	0.414861805946	0.289616375284	0.174353948555	0.0260384167144	0.0951294565758
e	0.19027444471	0.543327267761	0.152565586252	0.0320306048295	0.0818020927417
t	0.0771604906247	0.60888488092	0.139996976284	0.128276823208	0.0456808188122
s	0.0607773111122	0.582156111973	0.141316034295	0.166411441089	0.0493391089636
è	0.0561953676574	0.660220267991	0.144549039032	0.086339586583	0.0526957470039
r	0.0309844565191	0.554881931864	0.175403371277	0.190998708941	0.0477315316326
o	0.023436693832	0.403496175621	0.293009124826	0.23263972678	0.0474182763709
t	0.0225223277692	0.28917819024	0.360342490675	0.284418623593	0.0435383444836
i	0.0180600724857	0.209367342673	0.325076980625	0.382579048531	0.0649165298812
g	0.0104424476863	0.131074802224	0.298106090675	0.485025286177	0.0753513553404
r	0.0117230476918	0.0778692974727	0.239462655112	0.604150763392	0.0667942385068
à	0.0171604758782	0.0623266231709	0.159994721864	0.619163155797	0.141355031902
f	0.0224070498432	0.0940685437123	0.0886953567613	0.656180150466	0.138648893994
i	0.0216233607862	0.101411474042	0.0560230275204	0.546562531355	0.274379606025
</S>	0.0146874319139	0.0572123561284	0.0350296030602	0.420972845677	0.472097776013
