 	qui	dentro	vuole	un	tappeto	</S>
e	0.610301352933	0.139923410224	0.0484709179627	0.0703445595125	0.00552279108348	0.1254369794
t	0.546936793784	0.265051621148	0.062098746314	0.0762968013927	0.00351386487606	0.0461021777566
t	0.585897931308	0.290269516949	0.0585745072431	0.0408548154438	0.00258843644742	0.0218147907116
ù	0.504790337103	0.40077057855	0.0601422639817	0.0237136443429	0.00102412522776	0.00955906050182
m	0.229830554524	0.533992718657	0.0923823796872	0.0724130332056	0.0675511208624	0.00383020528319
è	0.0980563532373	0.595052668026	0.124289236229	0.0898619666759	0.0904914329906	0.00224835966646
s	0.0616563762403	0.528447442555	0.228313545543	0.106366326223	0.0607740331259	0.0144422933756
a	0.0545322956463	0.289191416665	0.462016696048	0.123945296274	0.0510423419012	0.0192719607645
t	0.0429485447471	0.164497415648	0.557991786216	0.158136171958	0.0627838039461	0.013642272148
è	0.0231759669578	0.133533845109	0.512547391605	0.236416369166	0.08046307006	0.0138633477357
l	0.0707975765947	0.15237071125	0.436275026135	0.262356573969	0.0598963212313	0.0183037944044
i	0.0905166396051	0.142026281541	0.308992285578	0.358845538856	0.0724236075171	0.0271956479508
è	0.0411692289372	0.108108090288	0.197724232593	0.484222148572	0.146300190246	0.0224761009103
n	0.0162011790675	0.0502895398602	0.121047318864	0.543205219277	0.248526773082	0.0207299616434
a	0.0395432859731	0.0350844114115	0.082425759828	0.442059304026	0.344695844261	0.0561913834145
t	0.0512896402273	0.0354809083384	0.064527589616	0.374042212809	0.384945109654	0.0897145404715
a	0.0478109844318	0.042827694215	0.0448536512187	0.309479758603	0.430237682551	0.124790240624
p	0.0410650570828	0.0381670393268	0.0298992747689	0.154367600134	0.622196994184	0.114304045988
p	0.0589399722138	0.0551642291429	0.0204899794863	0.147900633045	0.647460940728	0.0700442538427
è	0.0645355431673	0.0603289258066	0.0120813399382	0.14009123352	0.632512532243	0.0904504179476
t	0.0399938347949	0.0289606281489	0.0136949650501	0.0919008036115	0.707715355414	0.117734395449
o	0.0338787590331	0.043749057667	0.0167445371393	0.0694986334992	0.536009539805	0.300119456616
</S>	0.0205011106871	0.061517981323	0.0130905999906	0.0442225809926	0.382955074903	0.477712635308
