 	il	cibo	ee	vuole	mangiato	subito	e	presto	</S>
t	0.599170541599	0.158799147088	0.0433500577355	0.0319308854296	0.00305552618458	0.0195217304823	0.00705722155704	0.00860730761708	0.128507577207
o	0.476429852433	0.326434964143	0.0827792409868	0.0438643059656	0.00926278796088	0.00701226277677	0.00278118455129	0.00327064611621	0.0481647520497
f	0.304696125941	0.422440696248	0.0919748323889	0.0990397119065	0.0233927578098	0.00646368938251	0.00493940620862	0.0246772009692	0.0223755862037
à	0.15953261082	0.514318547616	0.128650219996	0.121143890342	0.0217841151542	0.00630898668571	0.0055091673934	0.0318339291752	0.0109185526861
i	0.0661207543952	0.482490826739	0.255959243465	0.139548493727	0.0230182928138	0.00881792536344	0.00678446200666	0.0127630647173	0.00449695265773
e	0.0245953995679	0.266495637446	0.408007408488	0.243074906576	0.0302515508913	0.0109144098593	0.00786336722003	0.00644841409488	0.00234890887288
e	0.0101528329441	0.122557751549	0.472434296163	0.341258133059	0.0362828342391	0.00836830036183	0.00564681413534	0.0023442550434	0.000954784488726
t	0.010602334247	0.059444698403	0.383260076721	0.390531132086	0.070505945371	0.0299697436402	0.0380209260182	0.00851831461133	0.00914683536209
è	0.0166230261441	0.10614569743	0.29039751424	0.382532608695	0.0903013435237	0.0391391216859	0.0516822188905	0.0110341450137	0.0121443419587
l	0.0344896243751	0.152873225085	0.239980663413	0.350740232898	0.117491040441	0.0250712086878	0.0378884020532	0.00992991969136	0.0315357145315
i	0.0388880884877	0.102921250126	0.171760118604	0.310331652433	0.245345750147	0.0410494622626	0.0418407762557	0.00989269303978	0.0379702467409
f	0.0329965021819	0.0658014638331	0.114333486668	0.288479477211	0.346106548849	0.0483225160675	0.0736944171252	0.0157714585152	0.0144941716478
a	0.0264955235695	0.0459225276722	0.0718368798227	0.263887744204	0.373367808483	0.0839988896025	0.109302643575	0.0181292822813	0.00705872322367
m	0.027779191824	0.0303007852219	0.0531584340076	0.222264631001	0.401327332961	0.110884232801	0.128304945898	0.0195393361691	0.00644111516722
è	0.0273393263212	0.0214892766647	0.0334467972892	0.152237972	0.38841625774	0.130142615267	0.154898418433	0.064272216763	0.0277571250784
n	0.0356801036938	0.00862018370701	0.0185158112031	0.121154292533	0.34498190768	0.159823643422	0.143370731544	0.130854802554	0.0369985381861
o	0.0387536572065	0.00526179114493	0.0163876208373	0.115245638631	0.25855457104	0.265949026741	0.148370617315	0.123653125578	0.0278239787927
s	0.0144627780948	0.00417671733531	0.011539336114	0.089902492197	0.185057229213	0.31868161978	0.230233463772	0.119237147599	0.0267092347042
ù	0.00601837400854	0.00260683948762	0.00605956094933	0.0611352908257	0.15422855986	0.273399891293	0.288494917257	0.185590039366	0.0224665411214
b	0.0122777216087	0.031388343636	0.0294857729124	0.0463531789686	0.180148035009	0.220432236184	0.251956421132	0.210270537222	0.0176877770871
i	0.0144962695021	0.0412893331931	0.0379290106845	0.0439771695242	0.160869894096	0.201980999115	0.254617870424	0.197458126407	0.0473813435157
t	0.00924672916709	0.0153358731871	0.0155056857439	0.0266876334094	0.0796625595787	0.227357440438	0.318024173475	0.244311577736	0.0638683355519
o	0.00738757656072	0.00635138464902	0.00743015823756	0.0184515931715	0.0457601288962	0.219179007746	0.357382380492	0.271135713512	0.0669220764933
è	0.00251082265733	0.00220814622942	0.0027725730843	0.0100236346561	0.0202814439577	0.233908672337	0.335293620231	0.332639856137	0.0603612524871
p	0.010415240335	0.00164195417715	0.00453311843152	0.0165458068879	0.0250446605549	0.190127895534	0.238311933544	0.477513535879	0.0358658594024
r	0.0226094866399	0.00612821031078	0.00794486998224	0.0206660855126	0.0723749399216	0.138095701231	0.189323803915	0.50470873156	0.0381481620301
è	0.0171273490697	0.00676840488269	0.00559491258131	0.00971739566055	0.0711186444342	0.0893889895776	0.159863947638	0.51920702812	0.121213320473
s	0.00943959698833	0.0037876671132	0.00464981780874	0.00800622588253	0.0302240604484	0.0636922370065	0.131740422079	0.545408480707	0.203051484124
t	0.0470010686142	0.00650516854497	0.00605663970575	0.00892748472864	0.0585519854841	0.0721250824155	0.13028740476	0.407427285889	0.263117879279
o	0.0558624231413	0.00595416552934	0.00381944453437	0.0046619173425	0.0618623045339	0.0506698020492	0.106080153833	0.254153457016	0.456936344798
</S>	0.0280169779515	0.00308182236384	0.00201871753702	0.00255471734499	0.0314277484537	0.0319278913206	0.0914950839865	0.218746816608	0.590730238399
