 	vuole	vuole	mangiato	caldo	</S>
t	0.608419324951	0.0928015808447	0.124577848665	0.028265477713	0.145935774428
è	0.647784545644	0.152185766815	0.125153060296	0.0175881152566	0.0572885223423
l	0.636876115481	0.232526246138	0.0731898833353	0.0114094197101	0.0459983490753
i	0.439374292294	0.437291515379	0.0706371970051	0.0108298832777	0.041867112257
t	0.232329897578	0.566547308193	0.154786277962	0.0286381645146	0.0176983393961
è	0.138470275443	0.580460937798	0.227924332454	0.0393086493989	0.0138358008965
l	0.151459269404	0.552776272866	0.225977595151	0.0529215907583	0.0168652718602
i	0.119739543773	0.424683990689	0.357018122317	0.0712027174994	0.0273556098803
f	0.0704655204048	0.320507476603	0.447713484772	0.132554946598	0.0287585442154
a	0.0428293793373	0.224401397694	0.493630120257	0.198678962631	0.0404601070785
m	0.0198618098463	0.119502597185	0.540235147419	0.257744980744	0.0626554511862
è	0.0098933491741	0.0692916053617	0.48867998954	0.311609558515	0.120525505595
n	0.0548933070667	0.0729242185872	0.366868322047	0.347571964538	0.157742181885
o	0.069736304755	0.0669273301723	0.228183649352	0.427226067279	0.207926621115
t	0.0328173371171	0.049972937168	0.169595136453	0.543770294493	0.203844269772
r	0.0360313206164	0.0471388402713	0.166718428551	0.570525058164	0.179586341211
e	0.0280635177761	0.0264668581338	0.119815012706	0.503359546455	0.322295058024
m	0.0111198772874	0.0126918540986	0.064280590358	0.592695061885	0.319212619721
m	0.0520186588022	0.0320067937569	0.0926134960927	0.576786982828	0.246574078494
ò	0.0640177310023	0.0362424171904	0.0861705071309	0.411998852476	0.401570489038
</S>	0.032133513233	0.0196141092543	0.0503078665555	0.367575257238	0.530369241519
