 	mi	si	gonfiò	il	dito	</S>
m	0.397256773132	0.133135985476	0.205833849474	0.0627569684735	0.0596419398018	0.14137450146
u	0.210893987791	0.219935710807	0.377283263758	0.0599672619465	0.0684081974934	0.0635116060692
p	0.115322817185	0.185049566971	0.517579015026	0.0924389688942	0.0493431253793	0.0402665257321
r	0.0914294838097	0.280206052444	0.445553383522	0.109386452325	0.0373696057518	0.0360550239647
ì	0.120460971294	0.37285311371	0.340955916161	0.119319884949	0.0252468816568	0.0211632317237
s	0.0918802719957	0.228894449065	0.4646196823	0.13224321481	0.0678604060158	0.0145019688907
t	0.0861477659882	0.186709296142	0.490562330365	0.122436008757	0.0786225555766	0.0355220495982
i	0.100402962433	0.193168730923	0.359344045974	0.24783142114	0.0538522531735	0.0454006005527
t	0.0719944368952	0.125437117004	0.270875771321	0.353277601835	0.139329787301	0.0390852860576
o	0.0424465036147	0.0915960781103	0.222910116585	0.328434824978	0.26437497204	0.0502374994123
d	0.019133985678	0.0694760580218	0.19982231812	0.260959636266	0.395481336652	0.0551266608225
à	0.00879717234581	0.0256444937356	0.241969985191	0.182199202237	0.465648849152	0.0757402942928
t	0.00782453334768	0.0207313125241	0.258402800491	0.170806874088	0.46104068502	0.0811937784309
t	0.063931355066	0.035573781808	0.162271708617	0.214940280296	0.378476875007	0.144805982697
i	0.0828435866415	0.0354320184344	0.13126893857	0.176342878686	0.297396051329	0.276716528986
l	0.0451891529614	0.0193596473828	0.176294703908	0.0923774684158	0.39622380157	0.270555225729
o	0.029198416955	0.0106721744856	0.127428620268	0.0532316496219	0.378013974857	0.40145515231
</S>	0.0168018057013	0.00795426037032	0.0738856096717	0.0384852350359	0.271236687129	0.591636387155
