 	l	ho	sentito	quando	veniva	</S>
t	0.570241379377	0.0495042548813	0.115012428146	0.0313564614001	0.0583045833629	0.175580896439
o	0.45148425495	0.157428514398	0.238338315919	0.0285837063604	0.0534637335036	0.0707014734321
n	0.274381546293	0.246426706602	0.332585283953	0.0522416400161	0.0608704546463	0.0334943696622
ì	0.136370548788	0.36188825889	0.368695054482	0.058266921938	0.0631461638548	0.0116330875876
k	0.123434785833	0.37119275505	0.360337836418	0.051678424136	0.0660540183603	0.0273022108459
u	0.172668892986	0.353122705683	0.273744112453	0.0904776483453	0.0731506491406	0.0368359865088
s	0.123561361709	0.353764910561	0.313272162131	0.139630038608	0.0502047218312	0.0195667997234
a	0.0546052777334	0.2543156522	0.386035033697	0.211224428203	0.073336471144	0.0204831603621
m	0.0259883239748	0.184738624807	0.305413847819	0.309763290934	0.148438558628	0.0256573792456
ò	0.0151198598709	0.105649368929	0.197628642869	0.408517557845	0.225058862609	0.0480257223419
t	0.021039027845	0.0908430907363	0.140740063786	0.422451755548	0.263496993276	0.061429084274
t	0.0290919068029	0.0756218588541	0.219998483482	0.309978233734	0.226816302271	0.138493223916
e	0.0177194807309	0.0394936772069	0.200441237875	0.235204530443	0.261639615863	0.245501465303
è	0.00696819283081	0.0177749329112	0.0711087847426	0.218646742328	0.440870449801	0.244630892488
r	0.00833287514203	0.0133883955298	0.0486190228904	0.215099291843	0.516685465914	0.197874947216
k	0.0213087843453	0.0152557988819	0.12974612532	0.206688366176	0.401378688825	0.225622248303
a	0.020879132586	0.0104788991198	0.132989345667	0.141987000697	0.348926739662	0.344738899999
t	0.0147541957773	0.0108409489666	0.058050841828	0.0930239010957	0.463591908463	0.3597382346
o	0.0115731774258	0.0105167465706	0.0327626920117	0.0802991747467	0.39884031933	0.4660079088
</S>	0.00590725001247	0.00638460173476	0.0166286442871	0.0809546309656	0.267500211565	0.6226246664
