 	non	so	cosa	stai	scrivendo	</S>
e	0.575391865454	0.158520641771	0.100229741645	0.0144914607875	0.0154593989302	0.135906895397
n	0.431249231583	0.30471464159	0.137382460202	0.0264376140498	0.0070300054445	0.0931860580464
e	0.209695427274	0.572979517863	0.104637656534	0.0296613445679	0.00403782031142	0.0789882635196
t	0.086746550348	0.637828781954	0.130805163545	0.0603700386563	0.0177668201722	0.0664826602274
s	0.0625287888727	0.625029058651	0.146527561835	0.0709700776171	0.0230056399488	0.0719388715839
è	0.0543464549976	0.690541834884	0.144432939232	0.0536357428057	0.00952345254513	0.0475195784482
r	0.0414647995859	0.574476832295	0.234799237411	0.0757104770886	0.0365881807137	0.0369604906069
o	0.0414529694821	0.397061908565	0.376043736204	0.116345741963	0.0455754927706	0.0235201785198
e	0.0264743478629	0.232778233722	0.406544782068	0.288673874788	0.0322783985829	0.0132503749093
s	0.0109241478396	0.118510743941	0.311329928123	0.402456664396	0.126628232854	0.0301502816883
ù	0.005026201239	0.060010678287	0.199271349141	0.528362596265	0.168728047285	0.0386011187211
t	0.0146423817243	0.0372458943023	0.130343925447	0.538351394088	0.247695528762	0.0317208585207
i	0.0226203265285	0.0376232461554	0.098749472389	0.466853121363	0.316246056921	0.0579077597422
s	0.0137757049445	0.0305210730125	0.068540786323	0.473269837414	0.347295642307	0.0665969349634
t	0.010198958639	0.0215437487408	0.059353405361	0.347613943031	0.433141926769	0.128147989204
e	0.00870786702785	0.0139489719637	0.0342407280477	0.266901893784	0.449777600656	0.226422914501
g	0.0164759756151	0.00683775113205	0.0180743111299	0.256235178608	0.515616556619	0.186760208147
r	0.0222946569097	0.0161167922313	0.0167484586633	0.230011538176	0.548863928206	0.165964606296
à	0.0135413424315	0.0185569874487	0.0109819367339	0.171867422232	0.548040290735	0.237012013299
f	0.0502202006622	0.0212962720585	0.0457937348908	0.142025723184	0.548142904912	0.19252116648
i	0.0612541668807	0.0242811776201	0.0574556943506	0.096985502808	0.408744155304	0.351279310607
</S>	0.0324967050658	0.015651331211	0.0292701752558	0.056694958924	0.284272309152	0.581614531303
