 	questa	canzone	venne	scritta	molti	anni	fa	da	un	nostro	poeta	</S>
t	0.674266893838	0.113178290426	0.00233726740239	0.00910614745985	0.0019116070685	0.00342220921397	0.0042867227071	0.0046557269749	0.00562086430681	0.0147985534405	0.0773911871686	0.089024540816
ù	0.679039266585	0.195534879937	0.00126859560329	0.003189533778	0.00122941445111	0.00123427458062	0.00146340487179	0.00158221245817	0.0023632429054	0.00597154498084	0.0688624560126	0.0382611642482
s	0.658114492339	0.195763817667	0.000983641687413	0.0101469605543	0.0170710077144	0.00747827701139	0.00264393807375	0.00310122030128	0.00149969494179	0.00983800108174	0.0727612053653	0.0205977408756
o	0.602648326758	0.238623251452	0.0055357586216	0.0127763066831	0.0225643658606	0.00958643144926	0.00304919596925	0.00361584768152	0.00134690649886	0.0114848268177	0.0741490604615	0.0146197141949
t	0.530446035633	0.2886681507	0.0102900784823	0.0251750390592	0.017076211135	0.0205757810385	0.0042380327733	0.00383055368494	0.00112773081856	0.00531019160765	0.0327689194656	0.0604932423571
r	0.532345915451	0.203548320864	0.0792400641068	0.0296726879191	0.0151059853267	0.0247591723101	0.00599802316687	0.0063036368244	0.00234309254956	0.00362982489874	0.0189708915329	0.0780823381266
a	0.45322494478	0.281748757236	0.157855126457	0.0149535035124	0.00642865850951	0.00991185393103	0.00403192674609	0.00532474206227	0.00236669960669	0.00762704585758	0.00776893644666	0.0487577710492
v	0.236329710812	0.343351462812	0.147214573772	0.0968024110748	0.0199675051748	0.0178101044217	0.00905175598438	0.00801828416711	0.00191371790186	0.00988570466469	0.0497812078259	0.0598735412618
ù	0.112197153876	0.406956798004	0.149905169795	0.145200431505	0.0242481579856	0.028803717554	0.0113266776779	0.00868279655609	0.00164623926249	0.00507476344245	0.0624857753667	0.0434723176781
d	0.0608020826767	0.445257619688	0.145410035036	0.155387258628	0.0157844875979	0.037049164248	0.00787695259761	0.00815089141141	0.00170996076204	0.00475105546692	0.0712988519613	0.0465216441873
i	0.0429497018719	0.279817303849	0.233748845852	0.210558728369	0.036586347654	0.0483635863325	0.00851829149813	0.010101315563	0.00176964727577	0.00511454145321	0.0743019299512	0.0481697441755
ì	0.0175246870935	0.214852634063	0.401583347662	0.161007013236	0.051550391798	0.0654781701601	0.0171538027371	0.0072116997912	0.0138063304145	0.00631500808486	0.0255213514945	0.0179955396728
r	0.00800601180302	0.166317379028	0.331622987772	0.217615962984	0.0441702292184	0.0942219829287	0.0204003255617	0.00893483371941	0.0233688907322	0.0122708652168	0.0616085610272	0.0114619446356
