 	è	che	è	entrato	da	qui	</S>
è	0.824557692	0.11488447668	0.0265323029655	0.0063683919452	0.0034532127195	0.00660729952055	0.0175966888944
n	0.620349080133	0.25439723324	0.0460530411465	0.0224390646703	0.00517552705577	0.00994108632255	0.0416449884223
a	0.383938030078	0.379017816413	0.132226538449	0.0288141467834	0.0237508813519	0.0111091278825	0.0411433469708
m	0.188842291959	0.328572154471	0.181831955816	0.157383773088	0.0483889973706	0.0156287714538	0.0793519273333
b	0.074421832593	0.20645525889	0.183508530739	0.326771306896	0.0435318251035	0.0152906680359	0.150020531755
ì	0.0389657762377	0.128979686497	0.245368309713	0.389288422832	0.0645134220812	0.0158983597006	0.116986017575
k	0.0254856422259	0.074884567299	0.224558053238	0.481075854277	0.0995724759204	0.0194849390955	0.0749384187863
e	0.018255992074	0.043029928577	0.139705633427	0.411951831339	0.3014754626	0.0267607891165	0.0588203062461
a	0.00941750885266	0.0200965496297	0.075340735037	0.194297191093	0.461870790867	0.191744716639	0.047232518602
p	0.00425154045355	0.00976990641657	0.0307775246483	0.077969190031	0.359141536356	0.427290712213	0.0907995881233
ò	0.00241441739452	0.00566453842379	0.0138096958321	0.0390399513837	0.232990253185	0.611686694071	0.0943944409238
t	0.00278217588411	0.0057743693791	0.0112486955194	0.0331488422539	0.142573260578	0.718586059357	0.0858866206413
t	0.00619682297731	0.0072702578726	0.0176343693551	0.0332720764306	0.0967852445093	0.668641081119	0.17020017058
u	0.00650346366504	0.00502532832472	0.0158617251904	0.0212107759744	0.0558757813231	0.579540319706	0.315982622627
</S>	0.00432310857142	0.00360914289314	0.0082523545032	0.0109401382435	0.0328167236915	0.542392348853	0.397666184113
