 	ho	finito	di	scrivere	</S>
s	0.527254489	0.3225544036	0.038449667885	0.01594047903	0.0958009430228
p	0.355767680067	0.406620248067	0.0991135977083	0.0236559183167	0.114842553226
ì	0.207931650689	0.560571774356	0.106991751396	0.02541020796	0.0990946535963
c	0.138930825896	0.684914740119	0.0543580984787	0.0214898448121	0.100306510517
c	0.118688416869	0.68991034604	0.0313794488116	0.0541495208634	0.105872197491
e	0.144459863134	0.64208569868	0.0779490378559	0.0605360316961	0.0749693297939
t	0.124313784465	0.492911304227	0.172545939152	0.101331722185	0.108897280149
s	0.100572424768	0.351660553542	0.241531054784	0.136167923395	0.170068039177
a	0.0870440345047	0.219108557847	0.459571410595	0.0951947967717	0.139081194399
à	0.0372032739182	0.090972101789	0.685178589532	0.114445670784	0.0722003674063
t	0.0172086477514	0.0527695105697	0.633143204511	0.228149083148	0.0687296058621
s	0.00980951036113	0.0338253477899	0.414287008837	0.344526560383	0.197551693163
e	0.00656317053067	0.0152797470561	0.300387486746	0.426466031428	0.251303648043
g	0.00443003923024	0.0109703340502	0.250655056315	0.516898395776	0.217046220081
r	0.00662877367934	0.0122779878754	0.179606011172	0.530956633259	0.270530617231
à	0.00921710993965	0.0100310457353	0.191881428724	0.54246196642	0.246408461747
t	0.00731966701348	0.00807311313997	0.145931326455	0.628223033473	0.210452841916
s	0.00802758449309	0.00872929648866	0.0682517099183	0.590340723358	0.324650624352
i	0.00807912118236	0.00977022414957	0.0506050386552	0.400725191719	0.530820364497
</S>	0.00478079625517	0.00947619659882	0.0458524277213	0.293649434459	0.646241094248
