 	ancora	non	mi	sono	vestito	</S>
a	0.845675611	0.025278076174	0.005364331967	0.0032810332267	0.0080369538255	0.112364049304
n	0.673449115267	0.0493368783047	0.052041205137	0.0635756038847	0.0184921375968	0.143105100742
k	0.495134460022	0.0756633233682	0.109289182046	0.105546054442	0.0362894931076	0.178077511979
ò	0.343535225474	0.114651180523	0.167720284615	0.0939426123607	0.0585706651779	0.221580019696
r	0.299468153825	0.137730060174	0.247194279978	0.0772057473869	0.0699672077193	0.168434479699
a	0.268207455917	0.226699222058	0.314433468099	0.0494588865956	0.0551322635371	0.0860686811797
e	0.10681822993	0.303061017619	0.3807615577	0.0884914701319	0.0382930807964	0.0825746800466
n	0.0408875990727	0.191731649693	0.353034112633	0.255716374711	0.0657927922121	0.0928375235567
e	0.0194794907556	0.089270243791	0.264809391544	0.45720343557	0.0879309569574	0.0813065601534
n	0.0146451751009	0.0518581646303	0.189889002381	0.500584927857	0.168522374006	0.0745004134865
d	0.021360247678	0.0254048954034	0.122201180567	0.391627378952	0.250120359869	0.1892859641
ì	0.0219367650927	0.0245581245845	0.104364744998	0.322025194851	0.285011137956	0.242104006603
s	0.0136083772856	0.0224868441802	0.086567302322	0.294714212284	0.438338443985	0.144284760788
i	0.00850540304834	0.0121709501503	0.0618087918207	0.193097205248	0.541218416662	0.183199187183
m	0.00974288018399	0.00540177295353	0.0427703389162	0.091833541836	0.648531712221	0.201719741187
o	0.0102354548738	0.00276268215067	0.0198248379221	0.041912847632	0.664394940074	0.260869206522
</S>	0.00618521183154	0.00217851655173	0.013701385462	0.025300719246	0.570020912037	0.382613182261
