 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a	0.6421367082	0.14414354594	0.08770615607	0.005697899006	0.004048520185	0.003974483299	0.0093614683017	0.0029936222997	0.0012460710214	0.00136887149681	0.000659603753207	0.00410421653493	0.0925588362425
n	0.40016339691	0.26474141298	0.186008866757	0.0199218568927	0.012237369933	0.00603538852433	0.0113399015542	0.00314584241643	0.0011976890114	0.00141200319414	0.000746984111207	0.0042279291988	0.088821340083
ì	0.143847541963	0.426950484727	0.321276756252	0.0272621247209	0.0141305719483	0.00642125959744	0.0079303180872	0.00400013714414	0.00359649331513	0.00319458533805	0.000979230567069	0.0023637745204	0.0380466909549
c	0.0714118113977	0.493243707109	0.317855381417	0.031787636577	0.0149617707314	0.00528994653248	0.00543655119627	0.00480812370005	0.00482388602451	0.00456020312204	0.00126011134114	0.00171958747187	0.0428412471681
h	0.0628117061126	0.467605313036	0.320309839139	0.052254462419	0.0186773190331	0.00643679479149	0.00551467081382	0.00577142680175	0.00421490054704	0.00535762824283	0.00277511087803	0.00206608156822	0.0462047765314
a	0.0415008380862	0.382659142345	0.382062185713	0.0929051653863	0.047041217549	0.00787398610383	0.00651023876461	0.00531050412898	0.00345518608579	0.00561528285196	0.00295226406433	0.00153450389607	0.0205795110761
n	0.0154645582341	0.245844930315	0.443226180571	0.151242443862	0.0956618786097	0.0108461552346	0.00690560512754	0.00402082430433	0.00387596428238	0.0042265214282	0.00232150407483	0.00140011301976	0.0149632569141
d	0.0108448795014	0.166390811172	0.409933046124	0.172838783421	0.128655681737	0.0245217485249	0.0161737072798	0.0105325329014	0.0104566140979	0.0103449023188	0.00658503106268	0.0106165704017	0.0221056086149
ì	0.009748505592	0.125035430231	0.327644420819	0.211675589914	0.196127751046	0.0312378427283	0.0216747909113	0.0119438352431	0.014149582766	0.012639522207	0.00708113183776	0.0132638788519	0.017777627822
s	0.00759397878027	0.089157314017	0.304118587851	0.249181602478	0.243736942349	0.0252751313761	0.0229465300971	0.00768110487703	0.015530996022	0.009746315733	0.00461102640259	0.00751118372197	0.0129091797773
o	0.00600391522708	0.0571128211218	0.225066882642	0.219238969159	0.353712502116	0.0618286382587	0.0274844093924	0.00878247358568	0.0130487766231	0.0083147324826	0.00365730204486	0.00534179353159	0.0104067429651
n	0.00248105332146	0.0255312014995	0.139744221792	0.210042131786	0.458352758039	0.0900647922196	0.0259816145241	0.00994798350856	0.0087928863701	0.0066321678918	0.00291829331095	0.00433214423613	0.0151787895742
t	0.0020751692922	0.020467316176	0.120395452684	0.227893610462	0.415294991346	0.0860034521199	0.0303612473614	0.0216613448762	0.0112132452967	0.0130864978073	0.00560371472165	0.0111518422467	0.0347921609379
