 	non	ci	dimentichiamo	mai	</S>
e	0.564257932	0.31152038165	0.00598740464055	0.0219651056663	0.0962691908087
n	0.336125161867	0.46057219375	0.0793080367246	0.0257582430684	0.0982363749032
è	0.257550700356	0.521494333117	0.116237705533	0.0284844756641	0.0762328162671
n	0.272007303452	0.582867287039	0.071357774009	0.015936857436	0.0578307841537
a	0.181696055957	0.672634717013	0.071401699423	0.0161495205253	0.0581179619159
a	0.0766619920457	0.616568878204	0.211854644741	0.0199554144618	0.074959038392
l	0.0301492765479	0.343639706311	0.497772464247	0.0403575537006	0.088081004124
l	0.0203415630306	0.143431671574	0.619735220082	0.0880848546129	0.128406694422
i	0.0168270067189	0.084982064178	0.500301490027	0.174234594437	0.223654788981
m	0.00976610427963	0.057263736846	0.519237994676	0.201649167887	0.212082880893
o	0.00826191582501	0.0383081046267	0.606789432225	0.193959510104	0.152680929163
n	0.00643324056587	0.0263640018549	0.538324191408	0.247351933299	0.181526578739
i	0.00396445511036	0.0142102515556	0.412084642469	0.382959238364	0.186781395831
s	0.00232685329892	0.00668068595613	0.370854528156	0.438856164781	0.181281720475
t	0.00196250348724	0.00640977083031	0.392765546785	0.436847688323	0.162014430979
ù	0.00236292760175	0.0180777679161	0.282648315708	0.51266805751	0.184242896815
m	0.00579671362182	0.023044797652	0.199759877475	0.552305062103	0.219093500738
e	0.00605989800701	0.0120370333361	0.144439457997	0.619517439634	0.217946146379
s	0.00461083057884	0.0170001549809	0.107511931866	0.606088300038	0.264788767408
t	0.00796355697515	0.0430143962149	0.144747083242	0.544416529706	0.259858389645
a	0.00756992953558	0.0428096516201	0.111005438089	0.549356470769	0.289258494376
m	0.00496810818851	0.0397229680875	0.108729275088	0.482856342256	0.36372329602
à	0.00371950310686	0.0352769435452	0.10657007693	0.510537962752	0.343895532968
i	0.00247422726866	0.0142500824626	0.0727845128202	0.531350862917	0.379140346989
</S>	0.00246297847013	0.0102014787979	0.0786842545001	0.461386976458	0.447264293495
