 	che	non	li	aspettiamo	</S>
n	0.7960181591	0.01814568038	0.019489535577	0.0438114182572	0.122535224558
a	0.662844578367	0.185163434327	0.052121605979	0.0253781357657	0.0744922139609
m	0.360151066502	0.273749201776	0.185685138526	0.109248287836	0.0711662786367
i	0.186159736447	0.230658490525	0.326853782442	0.175291039747	0.0810369499419
t	0.112967737816	0.216328325175	0.396203935081	0.171176734064	0.103323253663
u	0.0712969098453	0.139513861992	0.501736819694	0.177538864236	0.109913545297
s	0.0428737678218	0.0825878464907	0.526520194765	0.228549256738	0.119468935991
m	0.0385396294739	0.0500465012169	0.447436720655	0.324920651134	0.139056452935
ì	0.0381680518286	0.0683965950656	0.417834246018	0.34604863214	0.129552419624
n	0.0592884663629	0.0898617094219	0.457134789406	0.30623617538	0.087478823808
o	0.0502805256477	0.058095958972	0.370475812802	0.344561537793	0.176586124269
m	0.0241362220673	0.0251941376353	0.275622565934	0.401264215843	0.273782776198
e	0.0149725761788	0.0136988084744	0.208612733305	0.38188120046	0.380834614508
</S>	0.007913891013	0.0091292138612	0.115595753942	0.36818174713	0.499179354254
