 	il	dito	si	gonfiò	</S>
o	0.7644004684	0.20697855742	0.0052080512365	0.00863540373451	0.0147775794716
d	0.561344162667	0.328259346273	0.0270588227065	0.0229659626496	0.0603717980123
à	0.301830576722	0.562369373891	0.0327678989548	0.0283885915872	0.0746436211618
t	0.164516934474	0.74435920463	0.0155044256416	0.0142516216331	0.0613678712379
t	0.110494480891	0.65270129541	0.0289411819005	0.0525714706377	0.15529158608
i	0.058309089277	0.57857688367	0.132567575834	0.0743300398259	0.156216347401
l	0.0381273232257	0.558444069223	0.223459860611	0.097330482542	0.0826381711997
o	0.0301575077092	0.387546871941	0.389329966204	0.117168647714	0.0757969203392
è	0.0219393336951	0.293564350847	0.502540749535	0.121615820505	0.0603396344731
p	0.0201701422468	0.245533179949	0.437440743645	0.221962391435	0.0748934600044
r	0.0116485157193	0.11939334501	0.329085184215	0.336249552478	0.203623395835
i	0.00599214800577	0.0503231460883	0.186314262072	0.435890606159	0.321479867492
m	0.00442204872046	0.0214616193617	0.115874863757	0.507608724053	0.350632769227
m	0.00780811059163	0.0163352305479	0.093689803899	0.482004108284	0.400162711598
è	0.0246240626194	0.01778210706	0.0704947521463	0.481626175695	0.405472856992
n	0.0416356224908	0.0598063765493	0.0587150471821	0.446129529232	0.393713374664
o	0.0301047442397	0.0670764960398	0.046726036194	0.390245353744	0.465847332221
</S>	0.0157872083424	0.0341577120969	0.025114192997	0.406562969872	0.518377915111
