 	non	avete	mangiato	mai	un	rustico	</S>
e	0.630788306	0.18010271194	0.023895025366	0.00653402203478	0.0111006734994	0.0124333072592	0.135146034535
n	0.417104715147	0.336440859313	0.0870497270953	0.0140120811558	0.0121819724954	0.0309324519405	0.102278233729
è	0.198195890996	0.576686824438	0.115539892318	0.0159015516066	0.0124016997851	0.0335279642918	0.0477461754123
c	0.097918531732	0.704877883479	0.116081964593	0.0116580270235	0.0103703197817	0.0126378215823	0.0464555216534
h	0.071791029444	0.59888573616	0.201923194864	0.0133947696145	0.0290183403272	0.0145616527045	0.0704253431471
e	0.0472821264967	0.465884562387	0.336007579488	0.0392070389182	0.0377149717664	0.0151555424406	0.0587481955117
t	0.0360844152882	0.299448265929	0.497616431829	0.0739036915794	0.0360909781328	0.0148934912689	0.0419627600089
e	0.0317880215921	0.139597761096	0.505352295943	0.223218480826	0.0497629315776	0.0154378324696	0.0348427307173
f	0.020571991612	0.074169329396	0.365651771314	0.332026588609	0.111061712326	0.0582435887499	0.0382750754951
a	0.0167976390059	0.038773853078	0.250475764171	0.405261239536	0.162536589442	0.07743358989	0.048721327405
m	0.0116320555306	0.0252905711527	0.175975120724	0.458147813712	0.179561043547	0.09534638243	0.0540469829617
è	0.0120061511137	0.0232787928756	0.167395124641	0.368629911771	0.232480690916	0.0985339256767	0.0976754018939
n	0.0316540623071	0.0394384670125	0.155365653347	0.280595883924	0.335446983239	0.0471309156789	0.110368065251
a	0.0360044990834	0.0389840134246	0.0858052293226	0.236773672908	0.47039568868	0.049862482213	0.0821744259037
m	0.01629333523	0.0200561842897	0.0399560092558	0.194616476089	0.502962928227	0.136405468338	0.0897095574879
à	0.00989522647114	0.0149842323328	0.0375592719066	0.119637580416	0.501663484742	0.176189277322	0.140070886149
i	0.00424405907371	0.0091245120874	0.0304113833509	0.073163925432	0.438394068247	0.27509003565	0.169572025316
è	0.00196709303982	0.00689867162533	0.015671908487	0.042406944304	0.353533434749	0.433902029217	0.145619961172
n	0.00197855597529	0.00729361486881	0.0131994772733	0.025695572968	0.361663287983	0.454941752406	0.135227754964
a	0.00185313618352	0.00584580867944	0.0092084903301	0.0154381605093	0.273524891461	0.489767235469	0.204362264228
n	0.00199575623684	0.00387723432719	0.00536628672403	0.0080481994611	0.13565969066	0.516251761156	0.328801054263
r	0.00517621388385	0.00322330484571	0.00496861618868	0.00475817660503	0.0633825815067	0.580493789719	0.337997245452
ù	0.0053139910643	0.00305315709124	0.00512176580156	0.0170464079023	0.0493001059689	0.65166319324	0.268501298329
s	0.00298195039693	0.00456575420356	0.00653606459785	0.0225513259848	0.0515861518096	0.60760771108	0.30417103711
t	0.00423987159992	0.00536313989806	0.00782620594488	0.0113283786203	0.0367056354005	0.499298191427	0.43523860057
i	0.0041348131935	0.00450601015331	0.00627290725698	0.00677874071757	0.0199586355622	0.474051068209	0.484297812723
k	0.00621453961126	0.00399871433252	0.00668645542408	0.00485719362132	0.0142793264521	0.49865195207	0.465311777908
o	0.00715536164473	0.00450760010105	0.00717126448651	0.00595405740104	0.013011253574	0.436399148823	0.525801303636
</S>	0.00454185502993	0.00471086025443	0.00527521642998	0.00771148954142	0.009171549272	0.392522129612	0.576066915818
