 	non	ho	cosa	è	da	mangiare	</S>
e	0.7125144836	0.10257712763	0.019128761822	0.025714547457	0.00277108474467	0.0209910784032	0.116302898201
n	0.446344485973	0.201792510077	0.136008764321	0.0618790241651	0.0178026014827	0.0155426324629	0.120630034579
è	0.172354507698	0.425133772559	0.218232748974	0.0685934803717	0.0228705649742	0.010830378041	0.0819846349691
c	0.0959168386593	0.512703568853	0.273788621658	0.0451321736172	0.0104668763914	0.00793672848433	0.054055250263
h	0.0715214025664	0.374585537751	0.424755876553	0.0609455235657	0.0118358188531	0.00835584692544	0.0480000374143
o	0.0367114721061	0.242508697317	0.542687418851	0.112333360655	0.021571125187	0.00654229577515	0.0376456522714
t	0.023804878014	0.124136466139	0.576911192284	0.135304543952	0.0549564117957	0.0281492463517	0.0567372399481
i	0.0204894595511	0.0541903863357	0.418428951761	0.210575425451	0.179201400999	0.0549692460106	0.0621451259404
è	0.0115363534541	0.0242671265946	0.198553873367	0.335785340484	0.303618067666	0.0868279054035	0.0394113509601
n	0.0078518102085	0.0155818307182	0.107725277502	0.320037167495	0.402108027222	0.106822192668	0.03987370682
a	0.00435428348597	0.0107221980183	0.0651703305367	0.188631786032	0.458877947074	0.226910023156	0.04533341478
f	0.00324180823786	0.0069479585283	0.0321182225702	0.085009504744	0.414012841025	0.383127169985	0.07554245915
à	0.00272419918185	0.00576869811375	0.0187618305967	0.0480990563813	0.293173714875	0.527719890662	0.10375257622
o	0.00140013785951	0.00277749341564	0.00777342080337	0.0260942753711	0.143285704892	0.638389367554	0.18027953774
</S>	0.00118852199105	0.00204670682292	0.00513342713139	0.0161089551515	0.083609882546	0.633123827777	0.25878860317
