 	forse	sono	usciti	</S>
f	0.842510523	0.08904021242	0.03019395483	0.0382553142359
ò	0.789428619	0.154414684073	0.03210606763	0.0240506703999
r	0.614606283	0.257731920498	0.101869497883	0.0257923536934
s	0.410333776467	0.288825226573	0.179881257854	0.120959754785
i	0.279292933289	0.380126100791	0.167116634205	0.173464307894
e	0.169273061563	0.526245757597	0.156225119722	0.148256033831
g	0.10087493497	0.468811115932	0.279197919707	0.151116022801
g	0.127686904586	0.320055932377	0.318550281502	0.233706922211
u	0.136692883998	0.211410890459	0.247008048767	0.404888222424
ì	0.0967603401073	0.224422422153	0.293288452256	0.385528777475
k	0.0640904978391	0.221347032611	0.503515932085	0.211046525758
a	0.0321382417544	0.149642895352	0.510146978695	0.308071915853
n	0.0350154256981	0.108672800272	0.424755677565	0.431556158751
e	0.0326685703494	0.0630458121907	0.346143737488	0.558141941717
</S>	0.0240719555647	0.0411931723954	0.202318822194	0.732416074859
