 	vengono	vestiti	dai	genitori	</S>
è	0.850445179	0.05838357079	0.014911764402	0.00753312839971	0.068726514245
r	0.715030111	0.174495226157	0.0381264697693	0.00928679070571	0.0630615024466
k	0.564207701	0.264524050852	0.0762888862631	0.0217483809979	0.0732310450709
u	0.429938978067	0.393209381284	0.080838599001	0.0248560365326	0.071157051307
t	0.255650385889	0.522404565761	0.115848849934	0.0290973041642	0.0769988843193
t	0.174460956963	0.496793488587	0.175362048511	0.0425034825881	0.110880062433
e	0.122692611161	0.507725083529	0.24579417937	0.041509620136	0.0822785323837
n	0.0537033157345	0.520997449176	0.336228773323	0.0342182361387	0.0548522624751
d	0.031665518219	0.444326081325	0.305844810374	0.0668207013129	0.151342986018
i	0.019165773259	0.397963990042	0.256198559191	0.136087934191	0.190583879718
m	0.00957334966737	0.390679018681	0.333071615064	0.14780853375	0.118867581507
è	0.00669964226589	0.342396666227	0.386418197021	0.159343940983	0.105141551103
n	0.0118731433071	0.304279724742	0.371808837674	0.193788464328	0.118249778968
i	0.0123678964114	0.209490033364	0.340707362851	0.313489540776	0.123945100189
à	0.00539676540853	0.0892324983513	0.28975731311	0.505993122259	0.109620234463
t	0.00353205655843	0.0412912567418	0.250508746903	0.597928688153	0.106739221441
t	0.0241067660999	0.0239437340919	0.182533375368	0.572649708784	0.1967664291
u	0.0299980408817	0.016041989098	0.0871176941507	0.547980398928	0.318861914433
s	0.0144572877716	0.0109818701747	0.0460517451249	0.611497890976	0.317011230324
g	0.0140862771921	0.0253056080196	0.0538894260616	0.586476826992	0.320241864457
e	0.010405087485	0.0265136636452	0.0476702630379	0.509690245664	0.405720768322
n	0.00526493036686	0.0136619426	0.0315020945293	0.581230236555	0.368340877941
i	0.00314148564819	0.00977185378823	0.0241697904158	0.554526816185	0.40839019448
t	0.00210064226398	0.00656294662914	0.0165177774953	0.561537143395	0.413281619927
ò	0.00168604303793	0.00520162272278	0.0158209353951	0.628708362465	0.348583074409
r	0.00490231592828	0.00709416163159	0.0168972751317	0.597895596155	0.37321064547
u	0.00688167176949	0.0086912253192	0.0140722069106	0.455224639585	0.51513025049
</S>	0.00522393964434	0.0077350693896	0.0084546453153	0.300381303092	0.678205020245
