 	sapeva	che	fa	freddo	e	non	aveva	di	nuotare	</S>
ì	0.815599254	0.03375793495	0.007376838177	0.0049797172414	0.008292265918	0.00360979631598	0.00677302277175	0.00554914337565	0.0386114115178	0.075450616272
t	0.808563522667	0.05271570473	0.014871160037	0.0048877296834	0.0048875177288	0.00322473870138	0.00421113597462	0.00405328142099	0.0373072582639	0.0652779680375
s	0.740339970889	0.10609548229	0.0343781647457	0.0174051062865	0.0113975211917	0.0044771720351	0.00510911192984	0.00981830565126	0.0196720128346	0.0513071549754
e	0.574151904963	0.268349386297	0.0612723695352	0.0213352647898	0.0126180880906	0.00360819691454	0.00527809609878	0.0115372223027	0.0123670181421	0.0294824200111
r	0.333355216434	0.398606967832	0.145287303778	0.0405209384175	0.0134420963869	0.00644959673418	0.00473580578166	0.00919297441915	0.00674033469485	0.0416687380356
e	0.137320682658	0.481610481677	0.241455137259	0.0486421339592	0.0174183371523	0.00825380716473	0.00466727089169	0.00853215739705	0.00511123202131	0.0469887499888
k	0.0559315388433	0.516908770559	0.298607656153	0.0558812557397	0.0217836794341	0.00649712900891	0.00466578710836	0.00484124061635	0.00437259627413	0.0305103453595
a	0.0262961058998	0.387290944853	0.450707525784	0.0638538745932	0.0281004145354	0.0070551514683	0.00473760482712	0.00368217110405	0.00398822191858	0.0242879790505
k	0.0124893836101	0.267151700284	0.557723345928	0.0835150555444	0.0327974617025	0.00775809511677	0.00572187404937	0.00310782672862	0.00550640586006	0.024228845175
à	0.00999706030023	0.173179908561	0.579951519309	0.149226359581	0.0376829484942	0.00808663972159	0.00759904729246	0.00304023928687	0.00621803228335	0.0250182180232
n	0.0103867376028	0.10997530952	0.593742087303	0.189612182527	0.0429692910981	0.0080017638752	0.0100380760568	0.00203876987096	0.00576131077978	0.0274744344311
n	0.0262575777863	0.0871952791067	0.469737588634	0.281547617509	0.0470502975994	0.0089066459064	0.0126281225823	0.00429673572099	0.0161704927686	0.0462096270357
i	0.0280070922186	0.0556890712622	0.300514728878	0.417724846503	0.109492653933	0.0190754520021	0.0094817850941	0.00558716298766	0.0170535460425	0.0373735850066
t	0.0116078304032	0.0241974527007	0.197880535359	0.522869570168	0.153110491311	0.0241856986774	0.010366637034	0.00986072355255	0.0110642421338	0.0348567087247
s	0.00859376850986	0.0199303640402	0.146596559186	0.521140682056	0.151608789104	0.0338184406478	0.0151516419847	0.0263740963842	0.0208328420179	0.0559527200535
ì	0.00642232965899	0.0178770509454	0.109827173795	0.478138270685	0.193812463035	0.0661661328613	0.0315848949682	0.0286685972814	0.0213520363993	0.0461509894619
c	0.00623890725576	0.0122322848938	0.118515535865	0.479987680228	0.212573445678	0.0622871011204	0.0490246183227	0.0174867472405	0.0130998315838	0.028553853932
h	0.00741622222062	0.0186679478686	0.116652891355	0.487399714743	0.219075368559	0.0342447336888	0.0454438306209	0.0126250754335	0.0132928382253	0.045181423322
r	0.00709685493874	0.0213476520389	0.104704300185	0.403287988914	0.270423102853	0.0344539934076	0.0447468224536	0.0227520285712	0.0177151465151	0.0734721237556
a	0.00611876668768	0.0128878830183	0.082396351675	0.216524197925	0.359243514951	0.154863327699	0.0497516884179	0.0330668103904	0.018033135005	0.0671142370201
c	0.00696757107823	0.00770024568943	0.0317256963023	0.117354264328	0.42576479965	0.197625608405	0.071300094206	0.0494679301568	0.029679390435	0.0624143172886
e	0.00726415194346	0.00592778514681	0.0143729699191	0.076590884636	0.40132713255	0.243330481307	0.0949905764687	0.0633293088789	0.033490520805	0.0593761708868
e	0.00335867848626	0.00314619736613	0.0066652163285	0.0322751813687	0.255095482383	0.378620957436	0.119963861156	0.128002278626	0.034995941615	0.0378761758603
n	0.00265002448277	0.0027805498717	0.0057285348953	0.0265983830862	0.145458090594	0.281098523679	0.180403582719	0.234298613542	0.067157442025	0.0538262417034
ì	0.00255162068088	0.0022638251833	0.0047198420611	0.0237521867295	0.097063049398	0.12723031656	0.36474533424	0.251287020247	0.072534166675	0.0538526965818
c	0.00490465278065	0.0021262946165	0.0054266469317	0.017690875504	0.0582077291327	0.07744022888	0.50037610008	0.205898197349	0.083013145287	0.0449161687939
h	0.00691109797128	0.00494746567163	0.0103188456652	0.0250181627947	0.0872915561109	0.0676941553733	0.482913996693	0.158837352316	0.0880875979577	0.0679798083893
e	0.00420925948719	0.00507566130863	0.00917818242687	0.0217864233922	0.081297441513	0.0530635929378	0.340879930064	0.292003238439	0.0940553690526	0.0984509177211
n	0.00326003283096	0.00351871571543	0.00536413945152	0.0132052159704	0.0373185945463	0.0281162242019	0.166609815155	0.461193323213	0.165494614751	0.115919274751
a	0.0028252938978	0.00281486673264	0.00415980102281	0.00988877256987	0.0201388784728	0.01721174891	0.093741002045	0.442319482804	0.28563380025	0.121266388094
n	0.00197527895253	0.00214798051071	0.0034454649835	0.00720951370112	0.0119254353483	0.01162639521	0.053097394755	0.368304446935	0.403061962083	0.137206209203
a	0.00159204654739	0.00183419222485	0.00299025473044	0.00631479061434	0.00823282111277	0.00810166120333	0.0374971332063	0.291498126045	0.477701248028	0.164237840506
t	0.00131944371947	0.00152663827233	0.00255721313633	0.00533942998182	0.00628527450946	0.00604798441878	0.0257995508768	0.224590750148	0.534622911343	0.191910890162
è	0.00136566004932	0.00131043031438	0.00185450864265	0.00407409370435	0.00406877988229	0.00897030403793	0.0320005061439	0.158615896583	0.593558589114	0.194181210381
t	0.00144502005176	0.00163578793241	0.00157913912835	0.00357314817712	0.00333951430725	0.00954319015171	0.0359038060716	0.105881545261	0.652019827038	0.185079009727
s	0.00183800804412	0.0021358743807	0.00194483165378	0.00503427988187	0.00510873861764	0.00450332888897	0.0367150252292	0.0953928726203	0.555627652346	0.291699407769
i	0.00130525590021	0.00129915314673	0.00202360413475	0.00771185508629	0.00854548052128	0.00284767259972	0.0292460546314	0.0750816745268	0.432441359449	0.439497877916
</S>	0.000805325993535	0.000883031034636	0.0022212394804	0.00887018810555	0.00980701632374	0.00247692917496	0.0167504919482	0.0479703518434	0.430814495724	0.479400871958
