 	siete	cucinato	</S>
ì	0.792977961	0.087259877623	0.119762290073
s	0.724475188067	0.143045764576	0.132479166704
e	0.630277277756	0.260240433925	0.109482308461
s	0.410203809452	0.438780840642	0.151015389068
t	0.211855323051	0.549626920214	0.238517868153
a	0.138075311748	0.601684885405	0.260239891026
m	0.0624026306473	0.642829260468	0.294768152272
a	0.0309021967862	0.602247910823	0.366849959421
r	0.0230287730965	0.593356610941	0.383614665277
à	0.0198723559642	0.622773264314	0.357354387429
t	0.0191756975627	0.653454131438	0.327370177143
a	0.0133311529252	0.512872454946	0.473796386381
</S>	0.0076856841591	0.368283897173	0.62403041019
