 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.611388542	0.3669539251	0.00657417868	0.001528244895	0.0022135213207	0.0006994975379	0.00127020453756	0.00103424620538	0.00833766378411
j	0.453469761133	0.3746250705	0.0981950774733	0.015188874197	0.00715471593337	0.0019411411369	0.00302538271496	0.00232607145971	0.0440739055811
i	0.291067336511	0.4807745819	0.133283247617	0.0198653485353	0.00892286114519	0.00240571112378	0.00456474027839	0.0029429157378	0.0561732636478
n	0.16723249473	0.6665791293	0.102615925532	0.0132046288967	0.00683346720713	0.00288179161908	0.0079848328964	0.00704782962317	0.0256198537719
è	0.0834805331367	0.755478818433	0.101191622777	0.0122512963789	0.00778346977371	0.00352244221703	0.0102513315543	0.00879942886546	0.0172409808052
k	0.0858613172056	0.795015450811	0.0727641377257	0.00928453335963	0.0071106915359	0.00234754544568	0.00617105690943	0.00376939222889	0.0176758380124
a	0.0814366239352	0.62309055827	0.233406170842	0.0251145785799	0.0103044493253	0.00330974123989	0.00445437576808	0.00175912958991	0.0171243581833
p	0.039415714539	0.355989063223	0.470212300947	0.0675634927266	0.0249262439351	0.0094557696733	0.00691154552429	0.00253110584138	0.0229947442554
u	0.0185498828489	0.168247772274	0.647276224982	0.0889689945089	0.030882057485	0.0110927496444	0.00790010650876	0.00311283873822	0.0239693393579
l	0.00899904792357	0.0749677794247	0.748171678327	0.0990251460363	0.0314055468683	0.00838189762147	0.00700025229759	0.00518109502603	0.0168675171121
i	0.00547598978446	0.0338455698216	0.740713191442	0.140963617479	0.0409263133561	0.00884180934716	0.00677014805853	0.00697043573111	0.0154928956745
z	0.00475976360755	0.0199329562205	0.676888127147	0.184335196226	0.051101523252	0.0136075922624	0.00860833039751	0.00891334272947	0.0318531468615
z	0.00878364996392	0.0496597715402	0.575149606382	0.182430902075	0.0685220994173	0.0229520325675	0.00948695203717	0.0213337873612	0.0616811632803
è	0.00910341296024	0.0642963016401	0.488573611461	0.221054466692	0.110728071739	0.0240766912092	0.0104547805324	0.0236327894071	0.0480798161499
i	0.00458236403299	0.0322465811203	0.32246228902	0.372062502897	0.186735996246	0.0330700780031	0.0177744111375	0.0120967306763	0.0189689850873
o	0.00176557065052	0.0116251570311	0.134922232913	0.427939875366	0.273663326082	0.114249711534	0.0198191779058	0.00667792285873	0.00933701814843
s	0.00119250178681	0.00496986057105	0.0619913773443	0.366128690189	0.355546689361	0.138565076378	0.0142604804893	0.00794760548097	0.0493977476488
p	0.00207717606909	0.00324779411362	0.0424117599414	0.272079766396	0.347907086054	0.078739940526	0.0240169942038	0.0443371989557	0.185182241139
ì	0.00242135225127	0.00285316490854	0.0299843921405	0.206869877132	0.396353493618	0.070910249842	0.0337924922679	0.0642604496586	0.192554502658
t	0.00584846400246	0.004800577879	0.0269120396402	0.223652714577	0.463589895873	0.083175992414	0.0312009687226	0.0483431992662	0.112476191486
i	0.0069020519005	0.00493991057627	0.0189832587554	0.173515279592	0.379445499958	0.240348192138	0.0480846661075	0.0347749082821	0.0930062397487
o	0.00286528823654	0.0023956165501	0.00764351322913	0.0813787798507	0.265834769853	0.466977596713	0.101027943036	0.0218887054333	0.0499878204649
à	0.00123763055105	0.00186334002665	0.00389227193464	0.0409506637625	0.180931020151	0.455727591998	0.258710744279	0.031516551957	0.02517024662
n	0.00226199464445	0.00278578688561	0.00687108285768	0.0337024941064	0.157214031384	0.318525301159	0.36256487456	0.049487033479	0.0665874964997
t	0.0038970249441	0.00434999217773	0.00943628335576	0.0310897895821	0.140957587261	0.208775966453	0.29228773632	0.10910244956	0.200103268254
r	0.00409953436419	0.00544509917171	0.00799071952525	0.022531702314	0.117592338887	0.121432964284	0.235860929373	0.193627787187	0.291418924891
e	0.00317923228242	0.00439110602396	0.00587082125875	0.015811350758	0.0842607945357	0.106577436361	0.255376662058	0.245181924662	0.279350682806
p	0.00386141033023	0.00452312384462	0.00411243839394	0.0104879632043	0.0432174350852	0.12544498012	0.251537378266	0.272259339821	0.284556003217
o	0.00445120267182	0.00460988053444	0.00390224112494	0.00887084740843	0.0280266065044	0.133353103707	0.242545349002	0.32186904394	0.252371788554
d	0.00379848150944	0.00392396421236	0.00364944063738	0.00670963952888	0.0189612255201	0.105397192922	0.226344311201	0.42411056198	0.207105154615
è	0.00274644809936	0.00332827852056	0.00256462954346	0.00411890764369	0.0112190415007	0.0514834012247	0.263947239934	0.47618923666	0.184402710502
g	0.00163735203847	0.0019079201976	0.00158877674624	0.00264499343506	0.0071138406049	0.0271108718189	0.333168388645	0.489232134887	0.135595652501
g	0.00329888302234	0.00330456489084	0.00280977330497	0.00409099023552	0.010380679455	0.021879682593	0.317276690948	0.462796804962	0.17416193369
h	0.00654300664543	0.00466398828564	0.00388478042299	0.00551273072517	0.0127486961383	0.018851720111	0.281650505749	0.401890442187	0.264254163525
e	0.00731112386587	0.00375589837274	0.00319677289226	0.00431505422746	0.00833511817405	0.0183201866003	0.19138849171	0.386587773262	0.376789637214
</S>	0.00627290499688	0.00273202249338	0.00247079700503	0.00338727650233	0.00617746919896	0.0175696026851	0.123834738495	0.384519311631	0.453035942607
