 	che	non	li	aspetiamo	</S>
n	0.7922022446	0.01904501901	0.020326676504	0.0477215134439	0.120704512736
a	0.6586675282	0.19058056707	0.0537153913547	0.0249505479952	0.0720859819993
m	0.353602601927	0.28006681029	0.191908407452	0.105770548258	0.0686516362838
i	0.179056456569	0.23071958903	0.335350241484	0.175933763361	0.0789398526719
t	0.10723202699	0.21266636181	0.397808531161	0.181522842138	0.100770182691
u	0.0675081620653	0.13569485587	0.50239099172	0.186542086157	0.107863888791
s	0.0408162547478	0.0795249212233	0.529555175707	0.231438718751	0.118664869552
m	0.0374257394266	0.0484166025944	0.450111627169	0.327837699815	0.136208315286
ì	0.0382794910242	0.0690239714741	0.418684855323	0.347845284472	0.126166401576
n	0.0616861743341	0.0924355315874	0.456675529708	0.300435794157	0.088766910392
o	0.0530698109656	0.0603756480151	0.371682216916	0.335064692386	0.179807644464
m	0.0250243023387	0.026282543511	0.280772494585	0.393003231249	0.274917539095
e	0.0152284065649	0.014410382327	0.215539003819	0.37161475947	0.383207555306
</S>	0.00809377787045	0.0095953070585	0.120506059746	0.356687855635	0.505117103653
