 	avete	cucinato	le	verdure	</S>
i	0.823096509	0.141753304894	0.0063496090208	0.00882403472332	0.0199765231876
m	0.559091802807	0.242769397105	0.0207975162928	0.149368974663	0.0279723052987
a	0.403785921409	0.339263307142	0.0297860759909	0.197134448016	0.0300302769362
r	0.362548158136	0.408659980247	0.027752985757	0.166591240467	0.0344477049823
è	0.208333334912	0.514080036682	0.0587601267723	0.162234204302	0.0565923398883
t	0.128389521877	0.633692703561	0.0746151487108	0.0750638039935	0.0882388714874
s	0.0719635086657	0.557293162854	0.0605108131036	0.150058952678	0.160173611973
a	0.0415938202719	0.401140556551	0.191968014435	0.17626797877	0.189029614608
t	0.0220691007286	0.268642349357	0.405786226812	0.138868239467	0.164634044361
o	0.0142678732383	0.144153768959	0.552988449337	0.127759007236	0.160830882299
l	0.00949497562103	0.081111299033	0.521737242846	0.253360025159	0.134296433782
a	0.00697669721734	0.0363933949617	0.483759351415	0.318721712853	0.154148781889
l	0.00564681889131	0.0176991360339	0.409279317738	0.396698510751	0.170676164803
à	0.00591445743177	0.0205222473406	0.257827968579	0.476300799584	0.239434493428
c	0.00799202759192	0.0286490040935	0.231823086193	0.458870275195	0.272665545163
h	0.00648504841331	0.0235784940712	0.178148500331	0.573278065065	0.218509822534
a	0.00458221173837	0.0135398098531	0.110182516617	0.591311099688	0.280384318138
n	0.00349903053506	0.00674753376172	0.0621219369257	0.641768536563	0.285862982867
a	0.00292892261602	0.00429522869059	0.0298767359452	0.529491695254	0.43340743201
</S>	0.00255713299201	0.00257179875829	0.0223851269076	0.351000060227	0.621485857005
