 	non	so	cosa	scrive	</S>
e	0.649776088	0.13907482428	0.0176055378817	0.0353026775143	0.158240895853
n	0.413372153847	0.359734537493	0.0380413122884	0.0600710197323	0.128780969466
e	0.196240096529	0.616774320498	0.0479381013961	0.0670156800308	0.072031796532
t	0.120932696416	0.689136772166	0.0711046411987	0.0501487517769	0.0686771609667
s	0.0594483361653	0.606230061389	0.0951817254662	0.095732993843	0.143406948648
è	0.0409862063951	0.499723601796	0.166677213089	0.133792511832	0.158820560379
r	0.0562999294357	0.469531244599	0.247081954096	0.132282588744	0.094804352973
o	0.0505868760052	0.3386658866	0.366511289099	0.174767062315	0.0694689702377
t	0.0239272501134	0.146123000227	0.514711657033	0.226556526105	0.0886816459552
i	0.0150664950962	0.068124187309	0.490624609011	0.339242367368	0.0869423862344
g	0.00889004342273	0.032309721627	0.383843717004	0.489006323123	0.0859502056515
r	0.0108744716089	0.0396331392597	0.271722384868	0.491961679708	0.185808272986
à	0.0109570468566	0.0416235463906	0.185312640529	0.527159407903	0.234947298231
f	0.00924941279595	0.0269736090443	0.131058495016	0.665828512634	0.166889921077
i	0.00658050811747	0.0180881088434	0.069273432712	0.649792087545	0.256265807692
</S>	0.00454005295173	0.0133305890494	0.038965938216	0.566268835772	0.376894516846
