 	non	deve	magniare	la	sera	</S>
e	0.669059483	0.20644994802	0.018845655947	0.0075478098909	0.00860945263825	0.0894876594018
n	0.41329686118	0.401506714873	0.045414899187	0.0401876136436	0.0293641043786	0.0702298260718
è	0.16400330224	0.629683210758	0.0690016217337	0.0538478988212	0.0387629926591	0.0447009994019
n	0.0766534130867	0.730634242919	0.110492247465	0.0323250928604	0.0201366179299	0.0297584270126
a	0.0425934477289	0.55279414004	0.311886617088	0.0447387114668	0.0285109590473	0.0194762017575
f	0.0342601764003	0.295923969747	0.466688874896	0.116773895756	0.0593951717091	0.0269579208272
à	0.0297316246994	0.164497544716	0.467046378832	0.186122852852	0.111699251876	0.0409022617971
i	0.011245881559	0.080459896242	0.385193454631	0.369383348684	0.121959531399	0.031757809799
t	0.006370120826	0.0313318208553	0.209947993364	0.530927707561	0.151299837666	0.070122429487
o	0.00461254321473	0.0137782905582	0.0867768594647	0.523604671187	0.276031657922	0.095195917321
v	0.00336537193271	0.00800944261433	0.0366513465649	0.468408939062	0.386588644207	0.0969762887583
r	0.0038736638331	0.00817015079124	0.0229432209016	0.315382698354	0.436691472469	0.212938866659
à	0.0027988872057	0.00863095182841	0.0305196667339	0.196474720785	0.498469897623	0.263105916813
i	0.00191203890213	0.00722610486666	0.0294723016789	0.152051632262	0.507572923608	0.301764937804
</S>	0.00205295658641	0.00488268476211	0.0178802596109	0.130806740131	0.462033662804	0.382343589102
